time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"December 24 , 1965","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Avery Millard Powers III (born December 24, 1965) is an American musician, songwriter, record producer, and Grammy-nominated recording engineer.",0,0,,18578702
the 1980s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"While a student at the University of North Carolina at Greensboro in the 1980s, he collaborated with fellow student Ben Folds and with Alabama-based singer-songwriter Owsley, both of which he continued to work with as a musician and as a producer for the next several decades.",1,0,,18578702
the next several decades,DT JJ JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER MODIFIER TIME,time_reference,"While a student at the University of North Carolina at Greensboro in the 1980s, he collaborated with fellow student Ben Folds and with Alabama-based singer-songwriter Owsley, both of which he continued to work with as a musician and as a producer for the next several decades.",1,0,,18578702
2005,CD,YEAR_REGEX_1,TIME,time_reference,Since 2005 he has played bass guitar in the band Counting Crows.,2,0,,18578702
six years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Powers studied piano for six years, and played trumpet in his middle school and high school bands for five years.",0,3,== Career == | === Early history ===,18578702
five years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Powers studied piano for six years, and played trumpet in his middle school and high school bands for five years.",0,3,== Career == | === Early history ===,18578702
around early 1988,IN JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,"Majosha was a band formed around early 1988 with Ben Folds on bass, Powers on guitar, and Dave Rich on drums.",0,5,== Career == | === Majosha ===,18578702
1988,CD,YEAR_REGEX_1,TIME,time_reference,They played their first show at Duke University's Battle of the Bands in 1988 and won.,1,5,== Career == | === Majosha ===,18578702
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,"Majosha released an EP, Party Night: Five Songs About Jesus in 1988, which contained four tracks, and none of which were about Jesus.",2,5,== Career == | === Majosha ===,18578702
1988,CD,YEAR_REGEX_1,TIME,time_reference,"Majosha released an EP, Party Night: Five Songs About Jesus in 1988, which contained four tracks, and none of which were about Jesus.",2,5,== Career == | === Majosha ===,18578702
