time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"May 12 , 1955 – September 27 , 1991","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"Garry Glenn (May 12, 1955 – September 27, 1991) was an American singer, songwriter and musician best known for his association with his songwriting partner Dianne Quander and wrote the hit song ""Caught Up in the Rapture"" recorded by Anita Baker in 1986.",0,0,,30340472
1986,CD,YEAR_REGEX_1,TIME,time_reference,"Garry Glenn (May 12, 1955 – September 27, 1991) was an American singer, songwriter and musician best known for his association with his songwriting partner Dianne Quander and wrote the hit song ""Caught Up in the Rapture"" recorded by Anita Baker in 1986.",0,0,,30340472
"May 12 , 1955","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Garry Dewayne Glenn was born on May 12, 1955, in Detroit, the son of Robert and Bonnie (née Beard) Glenn.",0,2,== Biography ==,30340472
the late 1970s,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,"By the late 1970s, he turned his attention to songwriting.",2,2,== Biography ==,30340472
the 1980s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,In the 1980s he was a frequent songwriting collaborator with Dianne Quander.,3,2,== Biography ==,30340472
1980,CD,YEAR_REGEX_1,TIME,time_reference,"In 1980, Glenn recorded his eponymous album for PPL Records.",0,5,== Selected Songwriting Credits == | === Recording artist ===,30340472
1987,CD,YEAR_REGEX_1,TIME,time_reference,"Later, he joined the Motown roster, which released his second and final album, Feels Good To Feel Good in 1987, which was moderately successful.",1,5,== Selected Songwriting Credits == | === Recording artist ===,30340472
"September 27 , 1991","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Glenn died on September 27, 1991, from kidney failure.",0,7,== Death ==,30340472
the 1994,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"His song, ""Intimate Friends"" (as recorded by Eddie Kendricks) was sampled on the track, ""Old Time's Sake"" by Sweet Sable, which appeared on the 1994 soundtrack for Above the Rim.",1,9,== Legacy ==,30340472
2005,CD,YEAR_REGEX_1,TIME,time_reference,"In 2005, Alicia Keys sampled the same song on ""Unbreakable"".",2,9,== Legacy ==,30340472
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Sparkle sampled the song on the track, ""Time to Move On"" on her 1998 debut album.",0,10,== Legacy ==,30340472
"September 18 , 1991","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Both the All Music Guide and Soulwalking websites list Glenn's date of the death as September 18, 1991.",0,12,== Notes ==,30340472
