time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"May 8 , 1976","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Michael Maximino C. Elgar (born May 8, 1976) is a Filipino musician currently performs as a guitarist and one of the lead vocalists for the band Rivermaya.",0,0,,40896554
currently,RB,TIMELINE_REGEX,TIME,time_reference,"Michael Maximino C. Elgar (born May 8, 1976) is a Filipino musician currently performs as a guitarist and one of the lead vocalists for the band Rivermaya.",0,0,,40896554
May 2001,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"He has been the band's longest serving guitarist, ever since he joined in May 2001.",1,0,,40896554
13 years old,CD NNS JJ,DIGIT_REGEX_1 TIME_UNIT_REGEX SUFFIX_REGEX,NUMERAL TIME MODIFIER,,"When he was 13 years old, he already formed a band and played his first gig and in 1992 (15 years old), he is already a national guitar champion.",1,2,== Music career ==,40896554
1992,CD,YEAR_REGEX_1,TIME,time_reference,"When he was 13 years old, he already formed a band and played his first gig and in 1992 (15 years old), he is already a national guitar champion.",1,2,== Music career ==,40896554
15 years old,CD NNS JJ,DIGIT_REGEX_1 TIME_UNIT_REGEX SUFFIX_REGEX,NUMERAL TIME MODIFIER,,"When he was 13 years old, he already formed a band and played his first gig and in 1992 (15 years old), he is already a national guitar champion.",1,2,== Music career ==,40896554
1999,CD,YEAR_REGEX_1,TIME,time_reference,"In 1999, he signed as a recording artist in the Jett Pangan Group and produce 1 Extended Play and 1 album before it was dissolved in 2001.",2,2,== Music career ==,40896554
2001,CD,YEAR_REGEX_1,TIME,time_reference,"In 1999, he signed as a recording artist in the Jett Pangan Group and produce 1 Extended Play and 1 album before it was dissolved in 2001.",2,2,== Music career ==,40896554
2000,CD,YEAR_REGEX_1,TIME,time_reference,"In 2000, he formed the band 7 Foot Junior as its frontman and guitarist.",0,3,== Music career ==,40896554
May 2001,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,He was later recruited by Rivermaya in May 2001 with Japs Sergio (from Daydream Cycle) and Kakoy Legaspi (from Mr. Crayon) after the departure of the original bassist Nathan Azarcon and session/touring guitarist J-John Valencia (who left by Summer of 2001).,0,4,== Music career ==,40896554
Daydream,NNP,TIME_UNIT_REGEX,TIME,time_reference,He was later recruited by Rivermaya in May 2001 with Japs Sergio (from Daydream Cycle) and Kakoy Legaspi (from Mr. Crayon) after the departure of the original bassist Nathan Azarcon and session/touring guitarist J-John Valencia (who left by Summer of 2001).,0,4,== Music career ==,40896554
Summer,NNP,SEASON_REGEX,TIME,time_reference,He was later recruited by Rivermaya in May 2001 with Japs Sergio (from Daydream Cycle) and Kakoy Legaspi (from Mr. Crayon) after the departure of the original bassist Nathan Azarcon and session/touring guitarist J-John Valencia (who left by Summer of 2001).,0,4,== Music career ==,40896554
of 2001,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,He was later recruited by Rivermaya in May 2001 with Japs Sergio (from Daydream Cycle) and Kakoy Legaspi (from Mr. Crayon) after the departure of the original bassist Nathan Azarcon and session/touring guitarist J-John Valencia (who left by Summer of 2001).,0,4,== Music career ==,40896554
2001,CD,YEAR_REGEX_1,TIME,time_reference,RivermayaTuloy ang Ligaya (2001),0,9,== Discography ==,40896554
2003,CD,YEAR_REGEX_1,TIME,time_reference,Between the Stars and Waves (2003),0,10,== Discography ==,40896554
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Isang Ugat, Isang Dugo (2006)",0,11,== Discography ==,40896554
2008,CD,YEAR_REGEX_1,TIME,time_reference,Buhay (2008),0,12,== Discography ==,40896554
2009,CD,YEAR_REGEX_1,TIME,time_reference,Closest Thing to Heaven (2009),0,13,== Discography ==,40896554
2013,CD,YEAR_REGEX_1,TIME,time_reference,Panatang Makabanda (2013),0,14,== Discography ==,40896554
2017,CD,YEAR_REGEX_1,TIME,time_reference,Sa Kabila ng Lahat (2017),0,15,== Discography ==,40896554
