time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
9 March 1945,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Laura Lee (born Laura Lee Newton; 9 March 1945 in Chicago, Illinois) is an American soul and gospel singer and songwriter, most successful in the 1960s and 1970s and influential for her records which discussed and celebrated women's experience.",0,0,,11125433
the 1960s and 1970s,DT NNS CC CD,PREFIX_REGEX_1 YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,MODIFIER TIME MODIFIER TIME,time_reference,"Laura Lee (born Laura Lee Newton; 9 March 1945 in Chicago, Illinois) is an American soul and gospel singer and songwriter, most successful in the 1960s and 1970s and influential for her records which discussed and celebrated women's experience.",0,0,,11125433
Presents,NNS,TIMELINE_REGEX,TIME,time_reference,"The group recorded on the Specialty label in the mid-1950s, appeared on the LP Della Reese Presents",3,2,== Career ==,11125433
1958,CD,YEAR_REGEX_1,TIME,time_reference,"The Meditation Singers in 1958, and in the early 1960s recorded for Checker Records.",4,2,== Career ==,11125433
the early 1960s,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,"The Meditation Singers in 1958, and in the early 1960s recorded for Checker Records.",4,2,== Career ==,11125433
1956,CD,YEAR_REGEX_1,TIME,time_reference,"As Laura Lee Rundless, she replaced Reese in The Meditation Singers in 1956, and over the next few years toured widely around the country.",5,2,== Career ==,11125433
the next few years,DT JJ JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER MODIFIER TIME,time_reference,"As Laura Lee Rundless, she replaced Reese in The Meditation Singers in 1956, and over the next few years toured widely around the country.",5,2,== Career ==,11125433
1965,CD,YEAR_REGEX_1,TIME,time_reference,"In 1965, as Laura Lee, she launched her secular solo career as an R&B singer in clubs in Detroit, although she also continued to record occasionally with The Meditation Singers.",6,2,== Career ==,11125433
1966,CD,YEAR_REGEX_1,TIME,time_reference,"She first recorded solo for Ric-Tic Records in 1966, with ""To Win Your Heart"".",7,2,== Career ==,11125433
The following year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"The following year, she signed with Chess Records and, after initially recording in-house with the label's producers in Chicago, it was decided to send her to Rick Hall's FAME Studios in Muscle Shoals to record ""Dirty Man"".",10,2,== Career ==,11125433
1969,CD,YEAR_REGEX_1,TIME,time_reference,"She stayed with Chess until 1969, also recording ""Up Tight Good Man"" (#16 R&B) and ""As Long As I Got You"" (#31 R&B).",12,2,== Career ==,11125433
1970,CD,YEAR_REGEX_1,TIME,time_reference,"A short spell with Atlantic subsidiary, Cotillion resulted in two singles and then in 1970, Lee moved to former Motown producers, Holland, Dozier and Holland's newly established Hot Wax label in Detroit.",13,2,== Career ==,11125433
1971,CD,YEAR_REGEX_1,TIME,time_reference,"One of her first recordings for Hot Wax, ""Women's Love Rights"", became one of her biggest hits, reaching #11 on the R&B chart in 1971 and #36 pop.",14,2,== Career ==,11125433
1972,CD,YEAR_REGEX_1,TIME,time_reference,"In 1972, ""Rip Off"" became her biggest R&B hit at #3 but only climbed to #68 on the Billboard Hot 100.",15,2,== Career ==,11125433
1975,CD,YEAR_REGEX_1,TIME,time_reference,"Lee left Invictus / Hot Wax in 1975 and signed with Ariola Records, but became seriously ill shortly afterward and retired from the music industry for several years.",0,3,== Career ==,11125433
several years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Lee left Invictus / Hot Wax in 1975 and signed with Ariola Records, but became seriously ill shortly afterward and retired from the music industry for several years.",0,3,== Career ==,11125433
1983,CD,YEAR_REGEX_1,TIME,time_reference,"She returned in 1983 with a gospel album, Jesus Is The Light Of My Life, on which she worked with Al Green.",1,3,== Career ==,11125433
1990,CD,YEAR_REGEX_1,TIME,time_reference,By 1990 she was recovered from her illness and had been ordained as a minister.,2,3,== Career ==,11125433
the 1973,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"She made an appearance in the 1973 blaxploitation film Detroit 9000, as a singer in the opening scenes.",5,3,== Career ==,11125433
