time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
2 May 1945 – 13 March 1998,CD NNP CD NN CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME MODIFIER NUMERAL TIME TIME,time_range,0,0
25-plus year,JJ NN,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,2,0
the 1970s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,2,0
2 May 1945,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,2
nightclubs,NNS,DAY_TIME_REGEX,TIME,time_reference,2,2
the 1960s,DT NNS,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,4,2
1969,CD,YEAR_REGEX_1,TIME,time_reference,0,4
1972,CD,YEAR_REGEX_1,TIME,time_reference,1,4
27 weeks,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,4,4
1973,CD,YEAR_REGEX_1,TIME,time_reference,5,4
1972,CD,YEAR_REGEX_1,TIME,time_reference,6,4
six months,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,6,4
the 1970s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,9,4
a Christmas,DT NNP,INARTICLE_REGEX HOLIDAY_REGEX,MODIFIER TIME,time_reference,13,4
1977,CD,YEAR_REGEX_1,TIME,time_reference,13,4
13 March 1998,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,6
1972,CD,YEAR_REGEX_1,TIME,time_reference,0,13
1974,CD,YEAR_REGEX_1,TIME,time_reference,0,14
1975,CD,YEAR_REGEX_1,TIME,time_reference,0,15
1976,CD,YEAR_REGEX_1,TIME,time_reference,0,16
1977,CD,YEAR_REGEX_1,TIME,time_reference,0,17
1980,CD,YEAR_REGEX_1,TIME,time_reference,0,18
1981,CD,YEAR_REGEX_1,TIME,time_reference,0,19
1984,CD,YEAR_REGEX_1,TIME,time_reference,0,20
1988,CD,YEAR_REGEX_1,TIME,time_reference,0,21
1989,CD,YEAR_REGEX_1,TIME,time_reference,0,22
1994,CD,YEAR_REGEX_1,TIME,time_reference,0,23
1996,CD,YEAR_REGEX_1,TIME,time_reference,0,24
1996,CD,YEAR_REGEX_1,TIME,time_reference,0,25
