time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"December 25 , 1915 – October 16 , 2011","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"Pietro ""Pete"" Rugolo (December 25, 1915 – October 16, 2011) was an American jazz composer, arranger and record producer.",0,0,,2592867
1920,CD,YEAR_REGEX_1,TIME,time_reference,"His family emigrated to the United States in 1920 and settled in Santa Rosa, California.",1,2,== Life and career ==,2592867
the 1950s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"While Rugolo continued to work occasionally with Kenton in the 1950s, he spent more time creating arrangements for pop and jazz vocalists, most extensively with former Kenton singer June Christy on such albums as Something Cool, The Misty Miss Christy, Fair and Warmer!, Gone for the Day, and The Song Is June!",8,2,== Life and career ==,2592867
June,NNP,MONTH_REGEX,TIME,time_reference,"While Rugolo continued to work occasionally with Kenton in the 1950s, he spent more time creating arrangements for pop and jazz vocalists, most extensively with former Kenton singer June Christy on such albums as Something Cool, The Misty Miss Christy, Fair and Warmer!, Gone for the Day, and The Song Is June!",8,2,== Life and career ==,2592867
the Day,DT NNP,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"While Rugolo continued to work occasionally with Kenton in the 1950s, he spent more time creating arrangements for pop and jazz vocalists, most extensively with former Kenton singer June Christy on such albums as Something Cool, The Misty Miss Christy, Fair and Warmer!, Gone for the Day, and The Song Is June!",8,2,== Life and career ==,2592867
June,NNP,MONTH_REGEX,TIME,time_reference,"While Rugolo continued to work occasionally with Kenton in the 1950s, he spent more time creating arrangements for pop and jazz vocalists, most extensively with former Kenton singer June Christy on such albums as Something Cool, The Misty Miss Christy, Fair and Warmer!, Gone for the Day, and The Song Is June!",8,2,== Life and career ==,2592867
the late 1950s,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,"During this period, he worked on film musicals at Metro-Goldwyn-Mayer, and in the late 1950s he served as an A&R director for Mercury Records.",0,3,== Life and career ==,2592867
the 1960s and 1970s,DT NNS CC CD,PREFIX_REGEX_1 YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,MODIFIER TIME MODIFIER TIME,time_reference,"In the 1960s and 1970s, Rugolo did a great deal of work in television, contributing music to a number of series including Leave It to Beaver, Thriller, The Investigators, The Thin Man, Checkmate, The Fugitive, Run for Your Life, Felony Squad, The Bold Ones: The Lawyers, Alias Smith and Jones and Family.",0,5,== Television and film scoring ==,2592867
1959,CD,YEAR_REGEX_1,TIME,time_reference,"He provided scores for a number of TV movies and a few theatrical films, such as Jack the Ripper (1959), The Sweet Ride (1968), Underground Aces (1981) and Chu Chu and the Philly Flash (1981).",0,6,== Television and film scoring ==,2592867
1968,CD,YEAR_REGEX_1,TIME,time_reference,"He provided scores for a number of TV movies and a few theatrical films, such as Jack the Ripper (1959), The Sweet Ride (1968), Underground Aces (1981) and Chu Chu and the Philly Flash (1981).",0,6,== Television and film scoring ==,2592867
1981,CD,YEAR_REGEX_1,TIME,time_reference,"He provided scores for a number of TV movies and a few theatrical films, such as Jack the Ripper (1959), The Sweet Ride (1968), Underground Aces (1981) and Chu Chu and the Philly Flash (1981).",0,6,== Television and film scoring ==,2592867
1981,CD,YEAR_REGEX_1,TIME,time_reference,"He provided scores for a number of TV movies and a few theatrical films, such as Jack the Ripper (1959), The Sweet Ride (1968), Underground Aces (1981) and Chu Chu and the Philly Flash (1981).",0,6,== Television and film scoring ==,2592867
1962,CD,YEAR_REGEX_1,TIME,time_reference,"In 1962, he released an album of themes from popular television series, TV's Top Themes, which included his composition for the 1961 CBS sitcom Ichabod and Me.",1,6,== Television and film scoring ==,2592867
the 1961,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In 1962, he released an album of themes from popular television series, TV's Top Themes, which included his composition for the 1961 CBS sitcom Ichabod and Me.",1,6,== Television and film scoring ==,2592867
1960,CD,YEAR_REGEX_1,TIME,time_reference,"Rugolo's small combo jazz music featured in a couple of numbers in the film, Where the Boys Are (1960) under the guise of Frank Gorshin's ""Dialectic Jazz Band"".",2,6,== Television and film scoring ==,2592867
"October 16 , 2011","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Rugolo died at the age of 95 on October 16, 2011 in Sherman Oaks, California.",0,8,== Death ==,2592867
1954,CD,YEAR_REGEX_1,TIME,time_reference,"Introducing Pete Rugolo (Columbia, 1954)",0,10,== Discography ==,2592867
1955,CD,YEAR_REGEX_1,TIME,time_reference,"Adventures in Rhythm (Columbia, 1955)",0,11,== Discography ==,2592867
1955,CD,YEAR_REGEX_1,TIME,time_reference,"Rugolomania (Columbia, 1955)",0,12,== Discography ==,2592867
1956,CD,YEAR_REGEX_1,TIME,time_reference,"Music for Hi-Fi Bugs (EmArcy, 1956)",0,13,== Discography ==,2592867
1956,CD,YEAR_REGEX_1,TIME,time_reference,"Out on a Limb (EmArcy, 1956)",0,14,== Discography ==,2592867
1957,CD,YEAR_REGEX_1,TIME,time_reference,"New Sounds by Pete Rugolo (Harmony, 1957)",0,15,== Discography ==,2592867
1958,CD,YEAR_REGEX_1,TIME,time_reference,"An Adventure in Sound: Reeds in Hi-Fi (Mercury, 1958)",0,16,== Discography ==,2592867
1958,CD,YEAR_REGEX_1,TIME,time_reference,"An Adventure in Sound: Brass in Hi-Fi (Mercury, 1958)",0,17,== Discography ==,2592867
1958,CD,YEAR_REGEX_1,TIME,time_reference,"Percussion at Work (Mercury, 1958)",0,18,== Discography ==,2592867
1958,CD,YEAR_REGEX_1,TIME,time_reference,"Rugolo Plays Kenton (EmArcy, 1958)",0,19,== Discography ==,2592867
1959,CD,YEAR_REGEX_1,TIME,time_reference,"The Music from Richard Diamond (EmArcy, 1959)",0,20,== Discography ==,2592867
1960,CD,YEAR_REGEX_1,TIME,time_reference,"Behind Brigitte Bardot (Warner Bros., 1960)",0,21,== Discography ==,2592867
1960,CD,YEAR_REGEX_1,TIME,time_reference,"10 Trombones Like 2 Pianos (Mercury, 1960)",0,22,== Discography ==,2592867
1961,CD,YEAR_REGEX_1,TIME,time_reference,"The Original Music of Thriller (Time, 1961)",0,23,== Discography ==,2592867
1961,CD,YEAR_REGEX_1,TIME,time_reference,"Ten Trumpets and 2 Guitars (Mercury, 1961)",0,24,== Discography ==,2592867
1961,CD,YEAR_REGEX_1,TIME,time_reference,"10 Saxophones and 2 Basses (Mercury, 1961)",0,25,== Discography ==,2592867
1962,CD,YEAR_REGEX_1,TIME,time_reference,"TV's Top Themes (Mercury, 1962)",0,26,== Discography ==,2592867
