time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"September 8 , 1927 – March 3 , 2002","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"Harlan Perry Howard (September 8, 1927 – March 3, 2002) was an American songwriter, principally in country music.",0,0,,1624531
six decades,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"In a career spanning six decades, Howard wrote many popular and enduring songs, recorded by a variety of different artists.",1,0,,1624531
"September 8 , 1927","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Harlan Perry Howard was born on September 8, 1927, in Detroit, Michigan, and grew up on a farm in Michigan.",0,2,== Career ==,1624531
later years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"In later years, Howard recalled the personal formative influence of country music:",2,2,== Career ==,1624531
nine years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Howard completed only nine years of formal education, though he was an avid reader.",0,4,== Career ==,1624531
12 years,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"When he was 12 years of age, he began writing songs, ""an enthusiasm fueled by an appetite for books and an ear for a telling phrase.",1,4,== Career ==,1624531
late 1958,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Eventually, he sold some of his compositions and, after a few minor successes, his song, ""Pick Me Up on Your Way Down"", recorded by Charlie Walker, went to No. 2 on the country music charts in late 1958.",4,4,== Career ==,1624531
A year,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"A year later Ray Price had a major country hit with ""Heartaches By The Number"".",5,4,== Career ==,1624531
1960,CD,YEAR_REGEX_1,TIME,time_reference,"Buoyed by these two major hits, Howard moved to Nashville, Tennessee, in 1960.",7,4,== Career ==,1624531
1961,CD,YEAR_REGEX_1,TIME,time_reference,"Howard's songs were so immediately successful that, in 1961 alone, he had fifteen of his compositions on the country music charts, earning him ten BMI awards.",9,4,== Career ==,1624531
1969,CD,YEAR_REGEX_1,TIME,time_reference,"Though not often thought of as a writer of rhythm and blues songs, Howard wrote Joe Simon's No. 1 R&B chart hit ""The Chokin' Kind"", a million-selling record in 1969.",0,5,== Career ==,1624531
1973,CD,YEAR_REGEX_1,TIME,time_reference,"Howard was inducted into the Nashville Songwriters Hall of Fame in 1973, the Country Music Hall of Fame in 1997, and the Songwriters Hall of Fame also in 1997.",1,7,== Career ==,1624531
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Howard was inducted into the Nashville Songwriters Hall of Fame in 1973, the Country Music Hall of Fame in 1997, and the Songwriters Hall of Fame also in 1997.",1,7,== Career ==,1624531
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Howard was inducted into the Nashville Songwriters Hall of Fame in 1973, the Country Music Hall of Fame in 1997, and the Songwriters Hall of Fame also in 1997.",1,7,== Career ==,1624531
2002,CD,YEAR_REGEX_1,TIME,time_reference,"He died in Nashville in 2002, at the age of 74, and was buried in Nashville City Cemetery.",2,7,== Career ==,1624531
1961,CD,YEAR_REGEX_1,TIME,time_reference,1961:,0,9,== Discography ==,1624531
1965,CD,YEAR_REGEX_1,TIME,time_reference,1965:,0,10,== Discography ==,1624531
1967,CD,YEAR_REGEX_1,TIME,time_reference,1967:,0,11,== Discography ==,1624531
1967,CD,YEAR_REGEX_1,TIME,time_reference,1967:,0,12,== Discography ==,1624531
1971,CD,YEAR_REGEX_1,TIME,time_reference,1971:,0,13,== Discography ==,1624531
1981,CD,YEAR_REGEX_1,TIME,time_reference,1981:,0,14,== Discography ==,1624531
Today,NNP,TIMELINE_REGEX,TIME,time_reference,"""I Don't Believe I'll Fall in Love Today""",0,35,== Song list ==,1624531
Today,NNP,TIMELINE_REGEX,TIME,time_reference,"""I Wish I Could Fall in Love Today""",0,39,== Song list ==,1624531
Jan,NNP,MONTH_ABBR_REGEX,TIME,time_reference,"""It's All Over"" (co-written with Jan Howard)",0,41,== Song list ==,1624531
a Day,DT NNP,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"""Mommy For a Day"" (co-written with Buck Owens)",0,45,== Song list ==,1624531
Somewhere Tonight,RB NNP,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,"""Somewhere Tonight"" (co-written with Rodney Crowell)",0,53,== Song list ==,1624531
Christmas,NNP,HOLIDAY_REGEX,TIME,time_reference,"""What A Merry Christmas This Could Be""",0,60,== Song list ==,1624531
Now,RB,TIMELINE_REGEX,TIME,time_reference,"""You Took Him Off My Hands (Now Please Take Him Off My Mind)""",0,63,== Song list ==,1624531
Jan,NNP,MONTH_ABBR_REGEX,TIME,time_reference,"Howard was married numerous times, including to country singer Jan Howard.",0,67,== Personal life ==,1624531
