entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID
person,http://dbpedia.org/resource/Poet,http://dbpedia.org/ontology/Person,"Símun av Skarði (3 May 1872 – 9 October 1942) was a Faroese poet, politician, and teacher.",0,0,,,,,,,1758122
place,http://dbpedia.org/resource/Kunoy,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement",Símun was born in the village of Skarð on Kunoy.,0,2,== Biography ==,30.0,Kunoy,44.0,1.0,4.5170130286660716e-15,1758122
place,"http://dbpedia.org/resource/Askov,_Minnesota","Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","He attended Askov Højskole from 1896 to 1898, and then the State Teachers College in Copenhagen from 1898 to 1899.",2,2,== Biography ==,65.0,Askov,12.0,0.9999999989073842,0.0,1758122
place,http://dbpedia.org/resource/Copenhagen,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","He attended Askov Højskole from 1896 to 1898, and then the State Teachers College in Copenhagen from 1898 to 1899.",2,2,== Biography ==,28507.0,Copenhagen,86.0,0.984777301132217,0.0153851496436938,1758122
person,http://dbpedia.org/resource/Rasmus_Rasmussen_(writer),"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q36180,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Writer","In 1899, he co-founded the Faroese folk high school  (Føroya Fólkaháskúli) together with Rasmus Rasmussen (1871–1962).",3,2,== Biography ==,22.0,Rasmus Rasmussen,93.0,0.6752826732733604,0.404306220095697,1758122
place,http://dbpedia.org/resource/Roya_(river),"Wikidata:Q47521,Wikidata:Q4022,Schema:RiverBodyOfWater,Schema:Place,Schema:BodyOfWater,DBpedia:Stream,DBpedia:Place,DBpedia:NaturalPlace,DBpedia:Location,DBpedia:BodyOfWater,DBpedia:River","In 1899, he co-founded the Faroese folk high school  (Føroya Fólkaháskúli) together with Rasmus Rasmussen (1871–1962).",3,2,== Biography ==,39.0,roya,57.0,0.8290267605121269,0.1709401709401717,1758122
person,http://dbpedia.org/resource/Anna_of_Russia,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Royalty","Símun's sister, Anna Suffía Rasmussen (1876–1932), who had married Rasmus Rasmussen, served as the superintendent.",5,2,== Biography ==,403.0,Anna,17.0,0.4699714342082052,0.4874254134742431,1758122
person,http://dbpedia.org/resource/Anders_Fogh_Rasmussen,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q82955,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Politician","Símun's sister, Anna Suffía Rasmussen (1876–1932), who had married Rasmus Rasmussen, served as the superintendent.",5,2,== Biography ==,429.0,Rasmussen,30.0,0.6247573402092399,0.4553146903993483,1758122
person,http://dbpedia.org/resource/Rasmus_Rasmussen_(writer),"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q36180,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Writer","Símun's sister, Anna Suffía Rasmussen (1876–1932), who had married Rasmus Rasmussen, served as the superintendent.",5,2,== Biography ==,22.0,Rasmus Rasmussen,71.0,0.6752826732733604,0.404306220095697,1758122
person,http://dbpedia.org/resource/Rasmus_Rasmussen_(writer),"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q36180,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Writer",Rasmus Rasmussen worked there as a teacher until 1947.,6,2,== Biography ==,22.0,Rasmus Rasmussen,0.0,0.6752826732733701,0.404306220095697,1758122
