entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID
place,http://dbpedia.org/resource/Ethnomusicology,http://dbpedia.org/ontology/Place,"Joy Ifeoma Nroli Nwosu Lo-Bamijoko (born August 27, 1940) is a Nigerian ethnomusicologist, choral conductor, music critic and soprano.",0,0,,,,,,,50667561
person,http://dbpedia.org/resource/Conducting,http://dbpedia.org/ontology/Person,"Joy Ifeoma Nroli Nwosu Lo-Bamijoko (born August 27, 1940) is a Nigerian ethnomusicologist, choral conductor, music critic and soprano.",0,0,,,,,,,50667561
person,http://dbpedia.org/resource/Soprano,http://dbpedia.org/ontology/Person,"Joy Ifeoma Nroli Nwosu Lo-Bamijoko (born August 27, 1940) is a Nigerian ethnomusicologist, choral conductor, music critic and soprano.",0,0,,,,,,,50667561
place,http://dbpedia.org/resource/Nigeria,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","A music teacher at Unilag, she promoted Bel canto performances in Nigeria to develop interest in the opera and Italian style of singing.",1,0,,46814.0,Nigeria,66.0,0.999984558666018,1.4040772575998856e-05,50667561
place,http://dbpedia.org/resource/Italy,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","A music teacher at Unilag, she promoted Bel canto performances in Nigeria to develop interest in the opera and Italian style of singing.",1,0,,155703.0,Italian,111.0,0.5267596486440016,0.7861282363429106,50667561
place,http://dbpedia.org/resource/Nigeria,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",She has performed over 50 solo or group concerts in Nigeria and a few other countries.,2,0,,46814.0,Nigeria,52.0,0.9949635038545676,0.0048030011100779,50667561
place,http://dbpedia.org/resource/Africa,"Schema:Place,Schema:Continent,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Continent","In 1968, she published the book, Cinema e Africa for Aracne editrice, a piece about Africans in Cinema.",3,0,,56744.0,Africa,42.0,0.999866540462824,6.034507204591973e-05,50667561
person,http://dbpedia.org/resource/Charles_I_of_England,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Royalty","Nwosu was born in Enugu to the family of Charles Belonwu, a pastor and Deborah Nwosu both parents were members of their church's choir.",0,2,== Life ==,8036.0,Charles,41.0,0.4958442808584283,0.8244500633934598,50667561
person,http://dbpedia.org/resource/Deborah,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","Nwosu was born in Enugu to the family of Charles Belonwu, a pastor and Deborah Nwosu both parents were members of their church's choir.",0,2,== Life ==,325.0,Deborah,71.0,0.9897495154785948,0.0057829771093757,50667561
place,http://dbpedia.org/resource/Enugu,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","Nwosu was born in Enugu to the family of Charles Belonwu, a pastor and Deborah Nwosu both parents were members of their church's choir.",0,2,== Life ==,948.0,Enugu,18.0,0.9999999997929194,2.0625653240993862e-10,50667561
