URI,support,types,entity,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section,entType,wikiPageID
http://dbpedia.org/resource/Alessandro_Rolla,33,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Person",Alessandro Rolla,77,1.0,0.0,Paganini and his father then traveled to Parma to seek further guidance from Alessandro Rolla.,5,3,== Biography == | === Childhood ===,person,21511
http://dbpedia.org/resource/Ferdinando_Paer,131,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Person",Ferdinando Paer,93,1.0,0.0,"But upon listening to Paganini's playing, Rolla immediately referred him to his own teacher, Ferdinando Paer and, later, Paer's own teacher, Gasparo Ghiretti.",6,3,== Biography == | === Childhood ===,person,21511
http://dbpedia.org/resource/Napoleon,24280,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Person,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Royalty",Napoleon,77,0.99999999999892,6.001109602646311e-13,"In 1805, Lucca was annexed by Napoleonic France, and the region was ceded to Napoleon's sister, Elisa Baciocchi.",0,6,== Biography == | === Early career ===,person,21511
http://dbpedia.org/resource/Elisa_Bonaparte,114,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Person,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Royalty",Elisa Baciocchi,96,1.0,0.0,"In 1805, Lucca was annexed by Napoleonic France, and the region was ceded to Napoleon's sister, Elisa Baciocchi.",0,6,== Biography == | === Early career ===,person,21511
http://dbpedia.org/resource/Elisa_Bonaparte,114,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Person,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Royalty",Elisa,85,0.9999999999999858,5.546334972272496e-15,"Paganini became a violinist for the Baciocchi court, while giving private lessons to Elisa's husband, Felice.",1,6,== Biography == | === Early career ===,person,21511
http://dbpedia.org/resource/Pope_Leo_XII,345,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19546,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Person,DBpedia:Eukaryote,DBpedia:Cleric,DBpedia:Animal,DBpedia:Pope",Pope Leo XII,9,1.0,0.0,"In 1827, Pope Leo XII honoured Paganini with the Order of the Golden Spur.",0,9,== Biography == | === Travelling virtuoso ===,person,21511
http://dbpedia.org/resource/Giovanni_Battista_Viotti,141,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Person",Giovanni Battista Viotti,222,1.0,0.0,"In addition to his own compositions, theme and variations being the most popular, Paganini also performed modified versions of works (primarily concertos) written by his early contemporaries, such as Rodolphe Kreutzer and Giovanni Battista Viotti.",4,9,== Biography == | === Travelling virtuoso ===,person,21511
http://dbpedia.org/resource/Mauro_Giuliani,143,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Person",Mauro Giuliani,132,1.0,0.0,"Paganini's travels also brought him into contact with eminent guitar virtuosi of the day, including Ferdinando Carulli in Paris and Mauro Giuliani in Vienna.",0,10,== Biography == | === Travelling virtuoso ===,person,21511
http://dbpedia.org/resource/Camillo_Berneri,61,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q4964182,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Person,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Philosopher",Camillo,70,0.9973166323330408,0.0026905576313505,"He accepted students, of whom two enjoyed moderate success: violinist Camillo Sivori and cellist Gaetano Ciandelli.",2,13,== Biography == | === Late career and health decline ===,person,21511
"http://dbpedia.org/resource/Marie_Louise,_Duchess_of_Parma",417,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Person,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Royalty",Archduchess Marie Louise,67,0.9999999999994884,0.0,"In 1835, Paganini returned to Parma, this time under the employ of Archduchess Marie Louise of Austria, Napoleon's second wife.",4,13,== Biography == | === Late career and health decline ===,person,21511
http://dbpedia.org/resource/Napoleon,24280,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Person,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Royalty",Napoleon,104,0.9999999999091926,5.108253618727884e-11,"In 1835, Paganini returned to Parma, this time under the employ of Archduchess Marie Louise of Austria, Napoleon's second wife.",4,13,== Biography == | === Late career and health decline ===,person,21511
http://dbpedia.org/resource/Attila,1808,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Person,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Royalty",Attila,83,0.9999999982411224,1.6390384018248176e-09,"In 1893, the Czech violinist František Ondříček persuaded Paganini's grandson, Attila, to allow a viewing of the violinist's body.",9,15,"== Biography == | === Final years, death, and burial ===",person,21511
