entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID,timeEntityType
person,http://dbpedia.org/resource/Composer,http://dbpedia.org/ontology/Person,"Sergei Mikhailovich Lyapunov (or Liapunov; Russian: Серге́й Миха́йлович Ляпуно́в, Russian pronunciation: [sʲɪrˈɡʲej mʲɪˈxajləvʲɪtɕ lʲɪpʊˈnof]; 30 November [O.S. 18 November] 1859 – 8 November 1924) was a Russian composer, pianist and conductor.",0,0,,,,,,,1531242,
person,http://dbpedia.org/resource/Conducting,http://dbpedia.org/ontology/Person,"Sergei Mikhailovich Lyapunov (or Liapunov; Russian: Серге́й Миха́йлович Ляпуно́в, Russian pronunciation: [sʲɪrˈɡʲej mʲɪˈxajləvʲɪtɕ lʲɪpʊˈnof]; 30 November [O.S. 18 November] 1859 – 8 November 1924) was a Russian composer, pianist and conductor.",0,0,,,,,,,1531242,
person,http://dbpedia.org/resource/Aleksandr_Lyapunov,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q901,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Scientist","After the death of his father, Mikhail Lyapunov, when he was about eight, Sergei, his mother, and his two brothers (one of them was Aleksandr Lyapunov, later a notable mathematician) went to live in the larger town of Nizhny Novgorod.",1,2,== Life ==,100.0,Aleksandr Lyapunov,132.0,1.0,0.0,1531242,
place,http://dbpedia.org/resource/Nizhny_Novgorod,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","After the death of his father, Mikhail Lyapunov, when he was about eight, Sergei, his mother, and his two brothers (one of them was Aleksandr Lyapunov, later a notable mathematician) went to live in the larger town of Nizhny Novgorod.",1,2,== Life ==,2799.0,Nizhny Novgorod,218.0,0.9999934108923808,3.177555678034862e-06,1531242,
person,http://dbpedia.org/resource/Mikhail_Lyapunov,http://dbpedia.org/ontology/Person,"After the death of his father, Mikhail Lyapunov, when he was about eight, Sergei, his mother, and his two brothers (one of them was Aleksandr Lyapunov, later a notable mathematician) went to live in the larger town of Nizhny Novgorod.",1,2,== Life ==,,,,,,1531242,
person,http://dbpedia.org/resource/Nikolai_Rubinstein,http://dbpedia.org/ontology/Person,"On the recommendation of Nikolai Rubinstein, the Director of the Moscow Conservatory of Music, he enrolled in that institution in 1878.",3,2,== Life ==,,,,,,1531242,
person,http://dbpedia.org/resource/Karl_Klindworth,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","His main teachers were Karl Klindworth (piano; a former pupil of Franz Liszt), and Sergei Taneyev (composition; a former pupil of Pyotr Ilyich Tchaikovsky and his successor at the Conservatory).",4,2,== Life ==,33.0,Karl Klindworth,23.0,1.0,0.0,1531242,
person,http://dbpedia.org/resource/Karl_Klindworth,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","His main teachers were Karl Klindworth (piano; a former pupil of Franz Liszt), and Sergei Taneyev (composition; a former pupil of Pyotr Ilyich Tchaikovsky and his successor at the Conservatory).",4,2,== Life ==,33.0,Karl Klindworth,23.0,1.0,0.0,1531242,
person,http://dbpedia.org/resource/Franz_Liszt,http://dbpedia.org/ontology/Person,"His main teachers were Karl Klindworth (piano; a former pupil of Franz Liszt), and Sergei Taneyev (composition; a former pupil of Pyotr Ilyich Tchaikovsky and his successor at the Conservatory).",4,2,== Life ==,,,,,,1531242,
person,http://dbpedia.org/resource/Sergei_Taneyev,http://dbpedia.org/ontology/Person,"His main teachers were Karl Klindworth (piano; a former pupil of Franz Liszt), and Sergei Taneyev (composition; a former pupil of Pyotr Ilyich Tchaikovsky and his successor at the Conservatory).",4,2,== Life ==,,,,,,1531242,
person,http://dbpedia.org/resource/Pyotr_Ilyich_Tchaikovsky,http://dbpedia.org/ontology/Person,"His main teachers were Karl Klindworth (piano; a former pupil of Franz Liszt), and Sergei Taneyev (composition; a former pupil of Pyotr Ilyich Tchaikovsky and his successor at the Conservatory).",4,2,== Life ==,,,,,,1531242,
person,http://dbpedia.org/resource/Pyotr_Ilyich_Tchaikovsky,http://dbpedia.org/ontology/Person,"He graduated in 1883, more attracted by the nationalist elements in music of the New Russian School than by the more cosmopolitan approach of Tchaikovsky and Taneyev.",0,3,== Life ==,,,,,,1531242,
person,http://dbpedia.org/resource/Sergei_Taneyev,http://dbpedia.org/ontology/Person,"He graduated in 1883, more attracted by the nationalist elements in music of the New Russian School than by the more cosmopolitan approach of Tchaikovsky and Taneyev.",0,3,== Life ==,,,,,,1531242,
person,http://dbpedia.org/resource/Mily_Balakirev,http://dbpedia.org/ontology/Person,"He went to St. Petersburg in 1885 to seek Mily Balakirev, becoming the most important member of Balakirev's latter-day circle.",1,3,== Life ==,,,,,,1531242,
person,http://dbpedia.org/resource/Mily_Balakirev,http://dbpedia.org/ontology/Person,"He went to St. Petersburg in 1885 to seek Mily Balakirev, becoming the most important member of Balakirev's latter-day circle.",1,3,== Life ==,,,,,,1531242,
place,http://dbpedia.org/resource/Nizhny_Novgorod,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","Balakirev, who had himself been born and bred in Nizhny Novgorod, took Lyapunov under his wing, and oversaw his early compositions as closely as he had done with the members of his circle during the 1860s, now known as The Five.",2,3,== Life ==,2799.0,Nizhny Novgorod,49.0,0.999998893753756,7.671298079623589e-07,1531242,
