entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID
person,http://dbpedia.org/resource/Anne_Boyd,http://dbpedia.org/ontology/Person,Patricia Anne Boyd (born 17 March 1944) is an English model and photographer.,0,0,,,,,,,825643
person,http://dbpedia.org/resource/Photographer,http://dbpedia.org/ontology/Person,Patricia Anne Boyd (born 17 March 1944) is an English model and photographer.,0,0,,,,,,,825643
person,http://dbpedia.org/resource/Jean_Shrimpton,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q4610556,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Model","She was one of the leading international models during the 1960s and, with Jean Shrimpton, epitomised the British female look of the era.",1,0,,116.0,Jean Shrimpton,75.0,1.0,0.0,825643
place,http://dbpedia.org/resource/United_Kingdom,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","She was one of the leading international models during the 1960s and, with Jean Shrimpton, epitomised the British female look of the era.",1,0,,196331.0,British,106.0,0.7349967421220692,0.3261179221516805,825643
person,http://dbpedia.org/resource/George_Gershwin,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",Boyd married George Harrison in 1966 and experienced the height of the Beatles' popularity as well as sharing in their embrace of Indian spirituality.,2,0,,4430.0,George,13.0,0.9270863461076574,0.0346486319412807,825643
person,http://dbpedia.org/resource/George_Harrison,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",Boyd married George Harrison in 1966 and experienced the height of the Beatles' popularity as well as sharing in their embrace of Indian spirituality.,2,0,,6275.0,Harrison,20.0,0.9999941159800322,5.882466925695607e-06,825643
place,http://dbpedia.org/resource/India,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",Boyd married George Harrison in 1966 and experienced the height of the Beatles' popularity as well as sharing in their embrace of Indian spirituality.,2,0,,305927.0,Indian,130.0,0.526621567424867,0.5199540046742771,825643
person,http://dbpedia.org/resource/George_Harrison,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",She divorced Harrison in 1977 and married Harrison's friend Eric Clapton in 1979; they divorced in 1989.,3,0,,6275.0,Harrison,13.0,0.9999439811080147,5.580653227302522e-05,825643
person,http://dbpedia.org/resource/George_Harrison,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",She divorced Harrison in 1977 and married Harrison's friend Eric Clapton in 1979; they divorced in 1989.,3,0,,6275.0,Harrison,42.0,0.9999439811080147,5.580653227302522e-05,825643
person,http://dbpedia.org/resource/Eric_Clapton,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",She divorced Harrison in 1977 and married Harrison's friend Eric Clapton in 1979; they divorced in 1989.,3,0,,4472.0,Eric Clapton,60.0,0.99999992163163,7.83082522326212e-08,825643
