types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatJapaneseTraditions,http://dbpedia.org/resource/Japanese_festivals,Japanese festival,347,14,0.9999999989078106,0.0,1,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Japanese_festivals,Japanese festival,347,14,0.9999999989078106,0.0,1,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Japanese_festivals,Japanese festival,347,14,0.9999999989078106,0.0,1,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Japanese_festivals,Japanese festival,347,14,0.9999999989078106,0.0,1,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Japanese_festivals,Japanese festival,347,14,0.9999999989078106,0.0,1,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Japanese_festivals,Japanese festival,347,14,0.9999999989078106,0.0,1,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Japanese_festivals,Japanese festival,347,14,0.9999999989078106,0.0,1,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Japanese_festivals,Japanese festival,347,14,0.9999999989078106,0.0,1,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Japanese_festivals,Japanese festival,347,14,0.9999999989078106,0.0,1,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Tradition105809745,http://dbpedia.org/resource/Japanese_festivals,Japanese festival,347,14,0.9999999989078106,0.0,1,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/WikicatFestivals,http://dbpedia.org/resource/Japanese_festivals,Japanese festival,347,14,0.9999999989078106,0.0,1,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/WikicatFestivalsInJapan,http://dbpedia.org/resource/Japanese_festivals,Japanese festival,347,14,0.9999999989078106,0.0,1,6,== Career == | === Early career ===
