types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Songwriter,songwriter,8871,73,0.9999471968392242,2.318593562720833e-05,"Colin Edward Michael Blunstone (born 24 June 1945) is an English singer, songwriter and musician.",0,0,
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Songwriter,songwriter,8871,73,0.9999471968392242,2.318593562720833e-05,"Colin Edward Michael Blunstone (born 24 June 1945) is an English singer, songwriter and musician.",0,0,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Pseudonym,pseudonym,7480,73,0.9997269554634628,0.00019932872936028484,"Blunstone began his solo career in 1969, releasing three singles under a pseudonym of Neil MacArthur.",2,0,
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Pseudonym,pseudonym,7480,73,0.9997269554634628,0.00019932872936028484,"Blunstone began his solo career in 1969, releasing three singles under a pseudonym of Neil MacArthur.",2,0,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/ontology/Country,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/class/yago/WikicatIslandCountries,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://umbel.org/umbel/rc/Country,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/class/yago/Country108544813,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/class/yago/WikicatEnglish-speakingCountriesAndTerritories,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://dbpedia.org/class/yago/WikicatGermanicCountriesAndTerritories,http://dbpedia.org/resource/England,England,149654,85,0.9979345249262632,0.0017678652370189,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/King_Arthur,Arthur,5376,106,0.9716715760091292,0.0228517354183722,"Colin Edward Michael Blunstone was born on 24 June 1945, in Hatfield, Hertfordshire, England, only son of Arthur Blunstone, an aeronautical engineer at the De Havilland factory at Hatfield who later ran a hairdressing business before returning to work for De Havilland, and housewife Dorothy, a former dancer who also worked for De Havilland.",0,3,== Early years ==
