types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Eastern_Orthodox_liturgical_calendar,Eastern Orthodox liturgical calendar,457,75,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/ontology/Country,http://dbpedia.org/resource/Eastern_Orthodox_liturgical_calendar,Eastern Orthodox liturgical calendar,457,75,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/WikicatEasternOrthodoxLiturgicalDays,http://dbpedia.org/resource/Eastern_Orthodox_liturgical_calendar,Eastern Orthodox liturgical calendar,457,75,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/WikicatLiturgicalCalendars,http://dbpedia.org/resource/Eastern_Orthodox_liturgical_calendar,Eastern Orthodox liturgical calendar,457,75,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Eastern_Orthodox_liturgical_calendar,Eastern Orthodox liturgical calendar,457,75,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/Arrangement105726596,http://dbpedia.org/resource/Eastern_Orthodox_liturgical_calendar,Eastern Orthodox liturgical calendar,457,75,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/Calendar115173479,http://dbpedia.org/resource/Eastern_Orthodox_liturgical_calendar,Eastern Orthodox liturgical calendar,457,75,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Eastern_Orthodox_liturgical_calendar,Eastern Orthodox liturgical calendar,457,75,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/Day115155220,http://dbpedia.org/resource/Eastern_Orthodox_liturgical_calendar,Eastern Orthodox liturgical calendar,457,75,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Eastern_Orthodox_liturgical_calendar,Eastern Orthodox liturgical calendar,457,75,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Eastern_Orthodox_liturgical_calendar,Eastern Orthodox liturgical calendar,457,75,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/Structure105726345,http://dbpedia.org/resource/Eastern_Orthodox_liturgical_calendar,Eastern Orthodox liturgical calendar,457,75,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/TimeUnit115154774,http://dbpedia.org/resource/Eastern_Orthodox_liturgical_calendar,Eastern Orthodox liturgical calendar,457,75,1.0,0.0,0,24,== Portrayals == | === Other works ===
