types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatWomen,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatOperaManagers,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatPeopleFromBayreuth,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatPeopleFromHastings,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Administrator109770949,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Director110014939,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Director110015215,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Female109619168,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Head110162991,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Politician110450303,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Propagandist110482921,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatGermanNaziPoliticians,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatGermanOperaDirectors,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatGermanPeopleOfEnglishDescent,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatGermanTheatreDirectors,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatGermanWomen,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Woman110787470,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/ontology/Royalty,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Superior110676018,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Supervisor110676877,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatEnglishPeople,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Winifred_Wagner,Winifred Williams,96,136,1.0,0.0,1,8,== Biography == | === Career ===
