URI,support,types,entity,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://dbpedia.org/resource/Cassandra_Peterson,325,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",Elvira,7,0.9903439985477548,0.0051006270776943,María Elvira Gallegos Ríos (16 November 1913 – 13 January 1987) was a Mexican singer and actress.,0,0,
http://dbpedia.org/resource/Mexicans,12262,"Wikidata:Q41710,DBpedia:EthnicGroup",Mexican,74,0.9822453438097164,0.0112313181988189,María Elvira Gallegos Ríos (16 November 1913 – 13 January 1987) was a Mexican singer and actress.,0,0,
http://dbpedia.org/resource/Lara_de_los_Infantes,122,"Wikidata:Q486972,Wikidata:Q3957,Schema:Place,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Town",Lara,47,0.5619838573611263,0.779410360830169,"One of the most notable performers of Agustín Lara's songs, Ríos was the first Mexican singer who achieved international success through radio, records, nightclub engagements, tours, and films.",0,1,
http://dbpedia.org/resource/Music_of_Mexico,327,,Mexican,81,0.7553112302947684,0.2225146825123962,"One of the most notable performers of Agustín Lara's songs, Ríos was the first Mexican singer who achieved international success through radio, records, nightclub engagements, tours, and films.",0,1,
http://dbpedia.org/resource/Radio,20231,,radio,139,0.6952800152415101,0.1154983496361934,"One of the most notable performers of Agustín Lara's songs, Ríos was the first Mexican singer who achieved international success through radio, records, nightclub engagements, tours, and films.",0,1,
http://dbpedia.org/resource/Nightclub,4635,,nightclub,155,0.9734350434640012,0.0272677200088487,"One of the most notable performers of Agustín Lara's songs, Ríos was the first Mexican singer who achieved international success through radio, records, nightclub engagements, tours, and films.",0,1,
http://dbpedia.org/resource/Mexico,127378,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",Mexico,22,0.9710418492909804,0.0296005966060546,"She was well known in Mexico, United States, Brazil, Argentina, and France, among other countries.",1,1,
http://dbpedia.org/resource/United_States,551746,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",United States,30,0.9960284585167056,0.0036623336826213,"She was well known in Mexico, United States, Brazil, Argentina, and France, among other countries.",1,1,
http://dbpedia.org/resource/Brazil,102828,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",Brazil,45,0.9818406907631564,0.0178351430544308,"She was well known in Mexico, United States, Brazil, Argentina, and France, among other countries.",1,1,
http://dbpedia.org/resource/Argentina,70394,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",Argentina,53,0.9721070310326309,0.0283114940937553,"She was well known in Mexico, United States, Brazil, Argentina, and France, among other countries.",1,1,
