URI,support,types,entity,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://dbpedia.org/resource/Jane_Beale,413,"Wikidata:Q95074,Wikidata:Q24229398,DUL:Agent,DBpedia:FictionalCharacter,DBpedia:Agent,DBpedia:SoapCharacter",Jane,6,0.6873925513127322,0.3138565089192479,"Hazel Jane Dickens (June 1, 1925 – April 22, 2011) was an American bluegrass singer, songwriter, double bassist and guitarist.",0,0,
http://dbpedia.org/resource/Charles_Dickens,6532,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q36180,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Writer",Dickens,11,0.9999999966622112,2.5469509885386964e-09,"Hazel Jane Dickens (June 1, 1925 – April 22, 2011) was an American bluegrass singer, songwriter, double bassist and guitarist.",0,0,
http://dbpedia.org/resource/United_States,551746,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",American,60,0.9994551202868766,0.0003326449408603388,"Hazel Jane Dickens (June 1, 1925 – April 22, 2011) was an American bluegrass singer, songwriter, double bassist and guitarist.",0,0,
http://dbpedia.org/resource/Bluegrass_music,4327,"Wikidata:Q188451,DUL:Concept,DBpedia:TopicalConcept,DBpedia:Genre,DBpedia:MusicGenre",bluegrass,69,0.999999880555329,1.1791748632669897e-07,"Hazel Jane Dickens (June 1, 1925 – April 22, 2011) was an American bluegrass singer, songwriter, double bassist and guitarist.",0,0,
http://dbpedia.org/resource/Songwriter,8871,,songwriter,87,0.9999271379195248,5.086701916690675e-05,"Hazel Jane Dickens (June 1, 1925 – April 22, 2011) was an American bluegrass singer, songwriter, double bassist and guitarist.",0,0,
http://dbpedia.org/resource/Double_bass,15904,,double bassist,99,1.0,0.0,"Hazel Jane Dickens (June 1, 1925 – April 22, 2011) was an American bluegrass singer, songwriter, double bassist and guitarist.",0,0,
http://dbpedia.org/resource/Feminism,16358,,feminist,113,0.9996775750358944,0.00013902956886726364,"Her music was characterized not only by her high, lonesome singing style, but also by her provocative pro-union, feminist songs.",1,0,
http://dbpedia.org/resource/Charles_Dickens,6532,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q36180,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Writer",Dickens,42,0.9999999944904516,4.289193004264212e-09,"Cultural blogger John Pietaro noted that ""Dickens didn’t just sing the anthems of labor, she lived them and her place on many a picket line, staring down gunfire and goon squads, embedded her into the cause.""",2,0,
http://dbpedia.org/resource/The_New_York_Times,134379,"Wikidata:Q386724,Wikidata:Q234460,Wikidata:Q11032,Wikidata:Q1092563,Schema:CreativeWork,DBpedia:WrittenWork,DBpedia:Work,DBpedia:PeriodicalLiterature,DBpedia:Newspaper",The New York Times,0,0.9999964953860022,1.7729080109590283e-06,"The New York Times extolled her as ""a clarion-voiced advocate for coal miners and working people and a pioneer among women in bluegrass music.""",3,0,
http://dbpedia.org/resource/Coal_mining,5957,,coal miners,66,0.9320563726968264,0.0725633645921246,"The New York Times extolled her as ""a clarion-voiced advocate for coal miners and working people and a pioneer among women in bluegrass music.""",3,0,
http://dbpedia.org/resource/Bluegrass_music,4327,"Wikidata:Q188451,DUL:Concept,DBpedia:TopicalConcept,DBpedia:Genre,DBpedia:MusicGenre",bluegrass music,126,1.0,0.0,"The New York Times extolled her as ""a clarion-voiced advocate for coal miners and working people and a pioneer among women in bluegrass music.""",3,0,
http://dbpedia.org/resource/Alice_Gerrard,40,,Alice Gerrard,5,1.0,0.0,"With Alice Gerrard, Dickens was one of the first women to record a bluegrass album.",4,0,
http://dbpedia.org/resource/Charles_Dickens,6532,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q36180,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Writer",Dickens,20,0.9998718487159916,8.791645630086603e-05,"With Alice Gerrard, Dickens was one of the first women to record a bluegrass album.",4,0,
http://dbpedia.org/resource/Bluegrass_music,4327,"Wikidata:Q188451,DUL:Concept,DBpedia:TopicalConcept,DBpedia:Genre,DBpedia:MusicGenre",bluegrass,67,0.9999979164544718,1.1163606890451145e-06,"With Alice Gerrard, Dickens was one of the first women to record a bluegrass album.",4,0,
http://dbpedia.org/resource/Hazel_Dickens,89,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Hazel Dickens,0,1.0,0.0,"Hazel Dickens was born in Montcalm, Mercer County, West Virginia on June 1, 1925, the eighth of eleven siblings in a mining family of 6 boys and 5 girls.",0,2,== Career ==
http://dbpedia.org/resource/Louis-Joseph_de_Montcalm,278,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:MilitaryPerson",Montcalm,26,0.998665073429593,0.001333581666507,"Hazel Dickens was born in Montcalm, Mercer County, West Virginia on June 1, 1925, the eighth of eleven siblings in a mining family of 6 boys and 5 girls.",0,2,== Career ==
