@URI,@support,@types,@surfaceForm,@offset,@similarityScore,@percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://dbpedia.org/resource/Mexicans,12262,"Wikidata:Q41710,DBpedia:EthnicGroup",Mexican,55,0.7370933570250915,0.29958331063470944,"César Roel Schreurs, best known as César Costa, is a Mexican actor and rock-and-roll singer.",0,0,
http://dbpedia.org/resource/Actor,34508,,actor,63,0.996705991664815,0.002122392792326027,"César Roel Schreurs, best known as César Costa, is a Mexican actor and rock-and-roll singer.",0,0,
http://dbpedia.org/resource/Rock_and_roll,8581,"Wikidata:Q188451,DUL:Concept,DBpedia:TopicalConcept,DBpedia:Genre,DBpedia:MusicGenre",rock-and-roll,73,0.9999999999984084,0.0,"César Roel Schreurs, best known as César Costa, is a Mexican actor and rock-and-roll singer.",0,0,
http://dbpedia.org/resource/Condesa,192,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Colonia Condesa,18,1.0,0.0,Costa was born in Colonia Condesa of the Mexican capital.,0,1,
http://dbpedia.org/resource/Mexico,127378,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",Mexican,41,0.9796076251186571,0.0206893829785529,Costa was born in Colonia Condesa of the Mexican capital.,0,1,
http://dbpedia.org/resource/Collegium_Germanicum_et_Hungaricum,72,,German College,51,0.9999999802500954,0.0,He studied elementary and Junior Highschool at the German College and Law at the Universidad Nacional Autónoma de México (UNAM).,1,1,
http://dbpedia.org/resource/Club_Universidad_Nacional,1027,"Wikidata:Q476028,Wikidata:Q43229,Wikidata:Q24229398,DUL:SocialPerson,DUL:Agent,Schema:Organization,DBpedia:SportsClub,DBpedia:Organisation,DBpedia:Agent,DBpedia:SoccerClub",Universidad Nacional,81,0.9915785417221283,0.004835543552520108,He studied elementary and Junior Highschool at the German College and Law at the Universidad Nacional Autónoma de México (UNAM).,1,1,
http://dbpedia.org/resource/Ma_(surname),40,,MÃ,115,0.9759084555314154,0.0,He studied elementary and Junior Highschool at the German College and Law at the Universidad Nacional Autónoma de México (UNAM).,1,1,
"http://dbpedia.org/resource/Xico,_Veracruz",14,,xico,118,0.6942337742595823,0.24999999999999906,He studied elementary and Junior Highschool at the German College and Law at the Universidad Nacional Autónoma de México (UNAM).,1,1,
http://dbpedia.org/resource/National_Autonomous_University_of_Mexico,2690,"Wikidata:Q43229,Wikidata:Q3918,Wikidata:Q24229398,Wikidata:Q2385804,DUL:SocialPerson,DUL:Agent,Schema:Organization,Schema:EducationalOrganization,Schema:CollegeOrUniversity,DBpedia:Organisation,DBpedia:EducationalInstitution,DBpedia:Agent,DBpedia:University",UNAM,124,0.9992000776770003,8.005544005541636E-4,He studied elementary and Junior Highschool at the German College and Law at the Universidad Nacional Autónoma de México (UNAM).,1,1,
