types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Kristinn_Sigmundsson,Kristinn Sigmundsson,9,91,0.999999995158248,0.0,0,10,== Career == | === Recordings ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Kristinn_Sigmundsson,Kristinn Sigmundsson,9,91,0.999999995158248,0.0,0,10,== Career == | === Recordings ===
http://dbpedia.org/class/yago/Singer110599806,http://dbpedia.org/resource/Kristinn_Sigmundsson,Kristinn Sigmundsson,9,91,0.999999995158248,0.0,0,10,== Career == | === Recordings ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Kristinn_Sigmundsson,Kristinn Sigmundsson,9,91,0.999999995158248,0.0,0,10,== Career == | === Recordings ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/WikicatInstallationArtists,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/WikicatPeopleFromSt.Gallen,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/WikicatConceptualArtists,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/Sculptor110566072,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/WikicatSwissArtists,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/WikicatSwissPeople,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
http://dbpedia.org/class/yago/WikicatSwissSculptors,http://dbpedia.org/resource/Roman_Signer,Roman Signer,29,90,1.0,0.0,3,24,== Career == | === Festivals ===
