types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatA1TeamGreatBritainDrivers,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatAmericanLeMansSeriesDrivers,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatPorscheSupercupDrivers,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/ontology/RacingDriver,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatBlancpainEnduranceSeriesDrivers,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatBritishFormulaRenault2.0Drivers,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatBritishFormulaThreeChampionshipDrivers,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/Driver110034906,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/Operator110378412,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatEurocupFormulaRenault2.0Drivers,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatEuropeanLeMansSeriesDrivers,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatFIAWorldEnduranceChampionshipDrivers,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatFormulaPalmerAudiDrivers,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatFormulaRenault3.5SeriesDrivers,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatFormulaRenaultDrivers,http://dbpedia.org/resource/Danny_Watts,Danny Watts,59,0,0.9999999999763248,0.0,0,57,== Discography == | === Productions ===
