types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/WikicatComicsBasedOnFiction,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Wit106776138,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Caricature106780069,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Comedian109940146,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Fiction106367107,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Novel106367879,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Parody106780309,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/WikicatFantasyComics,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/WikicatFantasyParodies,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
http://dbpedia.org/class/yago/WikicatNovelsByRobertAsprin,http://dbpedia.org/resource/MythAdventures,MYTH Adventures,54,0,0.999999999934353,0.0,0,40,== Partial bibliography == | ==== Omnibus editions ====
