types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Radio,radio,20231,85,0.7685857053214931,0.2893567158466993,Brown hoped the moniker would click with listeners and make him stand out from other radio personalities.,2,0,
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Radio,radio,20231,85,0.7685857053214931,0.2893567158466993,Brown hoped the moniker would click with listeners and make him stand out from other radio personalities.,2,0,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Radio_broadcasting,radio,26968,37,0.9999999182318252,8.16743487751072e-08,"Shortly thereafter, Steele began his radio career working outside of L.A. at a small station, KBUC in Corona, California then moving on to KEPR Kennewick, KIMA Yakima and KXLY Spokane, all in Washington; KOIL Omaha, Nebraska; KISN Portland, Oregon, and KEWB San Francisco before returning to Los Angeles to help kick off what would become one of the most influential radio stations in the country, 93/KHJ, Boss Radio, in April 1965.",1,2,== Early career ==
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Radio_broadcasting,radio,26968,37,0.9999999182318252,8.16743487751072e-08,"Shortly thereafter, Steele began his radio career working outside of L.A. at a small station, KBUC in Corona, California then moving on to KEPR Kennewick, KIMA Yakima and KXLY Spokane, all in Washington; KOIL Omaha, Nebraska; KISN Portland, Oregon, and KEWB San Francisco before returning to Los Angeles to help kick off what would become one of the most influential radio stations in the country, 93/KHJ, Boss Radio, in April 1965.",1,2,== Early career ==
http://dbpedia.org/ontology/Automobile,http://dbpedia.org/resource/Radio_broadcasting,radio,26968,37,0.9999999182318252,8.16743487751072e-08,"Shortly thereafter, Steele began his radio career working outside of L.A. at a small station, KBUC in Corona, California then moving on to KEPR Kennewick, KIMA Yakima and KXLY Spokane, all in Washington; KOIL Omaha, Nebraska; KISN Portland, Oregon, and KEWB San Francisco before returning to Los Angeles to help kick off what would become one of the most influential radio stations in the country, 93/KHJ, Boss Radio, in April 1965.",1,2,== Early career ==
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Radio_broadcasting,radio,26968,37,0.9999999182318252,8.16743487751072e-08,"Shortly thereafter, Steele began his radio career working outside of L.A. at a small station, KBUC in Corona, California then moving on to KEPR Kennewick, KIMA Yakima and KXLY Spokane, all in Washington; KOIL Omaha, Nebraska; KISN Portland, Oregon, and KEWB San Francisco before returning to Los Angeles to help kick off what would become one of the most influential radio stations in the country, 93/KHJ, Boss Radio, in April 1965.",1,2,== Early career ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Radio_broadcasting,radio,26968,37,0.9999999182318252,8.16743487751072e-08,"Shortly thereafter, Steele began his radio career working outside of L.A. at a small station, KBUC in Corona, California then moving on to KEPR Kennewick, KIMA Yakima and KXLY Spokane, all in Washington; KOIL Omaha, Nebraska; KISN Portland, Oregon, and KEWB San Francisco before returning to Los Angeles to help kick off what would become one of the most influential radio stations in the country, 93/KHJ, Boss Radio, in April 1965.",1,2,== Early career ==
http://dbpedia.org/class/yago/WikicatRadioStations,http://dbpedia.org/resource/Radio_broadcasting,radio,26968,37,0.9999999182318252,8.16743487751072e-08,"Shortly thereafter, Steele began his radio career working outside of L.A. at a small station, KBUC in Corona, California then moving on to KEPR Kennewick, KIMA Yakima and KXLY Spokane, all in Washington; KOIL Omaha, Nebraska; KISN Portland, Oregon, and KEWB San Francisco before returning to Los Angeles to help kick off what would become one of the most influential radio stations in the country, 93/KHJ, Boss Radio, in April 1965.",1,2,== Early career ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Radio_broadcasting,radio,26968,37,0.9999999182318252,8.16743487751072e-08,"Shortly thereafter, Steele began his radio career working outside of L.A. at a small station, KBUC in Corona, California then moving on to KEPR Kennewick, KIMA Yakima and KXLY Spokane, all in Washington; KOIL Omaha, Nebraska; KISN Portland, Oregon, and KEWB San Francisco before returning to Los Angeles to help kick off what would become one of the most influential radio stations in the country, 93/KHJ, Boss Radio, in April 1965.",1,2,== Early career ==
http://dbpedia.org/class/yago/BroadcastingStation102903405,http://dbpedia.org/resource/Radio_broadcasting,radio,26968,37,0.9999999182318252,8.16743487751072e-08,"Shortly thereafter, Steele began his radio career working outside of L.A. at a small station, KBUC in Corona, California then moving on to KEPR Kennewick, KIMA Yakima and KXLY Spokane, all in Washington; KOIL Omaha, Nebraska; KISN Portland, Oregon, and KEWB San Francisco before returning to Los Angeles to help kick off what would become one of the most influential radio stations in the country, 93/KHJ, Boss Radio, in April 1965.",1,2,== Early career ==
http://dbpedia.org/class/yago/Facility103315023,http://dbpedia.org/resource/Radio_broadcasting,radio,26968,37,0.9999999182318252,8.16743487751072e-08,"Shortly thereafter, Steele began his radio career working outside of L.A. at a small station, KBUC in Corona, California then moving on to KEPR Kennewick, KIMA Yakima and KXLY Spokane, all in Washington; KOIL Omaha, Nebraska; KISN Portland, Oregon, and KEWB San Francisco before returning to Los Angeles to help kick off what would become one of the most influential radio stations in the country, 93/KHJ, Boss Radio, in April 1965.",1,2,== Early career ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Radio_broadcasting,radio,26968,37,0.9999999182318252,8.16743487751072e-08,"Shortly thereafter, Steele began his radio career working outside of L.A. at a small station, KBUC in Corona, California then moving on to KEPR Kennewick, KIMA Yakima and KXLY Spokane, all in Washington; KOIL Omaha, Nebraska; KISN Portland, Oregon, and KEWB San Francisco before returning to Los Angeles to help kick off what would become one of the most influential radio stations in the country, 93/KHJ, Boss Radio, in April 1965.",1,2,== Early career ==
