types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatYTVShows,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Beginning100235435,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/ChangeOfState100199130,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Ending106308765,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Entertainment100429048,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Introduction100238022,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Morpheme106306233,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Show100520257,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Wikicat1998CanadianTelevisionSeriesDebuts,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Wikicat2007CanadianTelevisionSeriesEndings,http://dbpedia.org/resource/YTV_Jr.,The Treehouse,7,0,0.9800453099608168,0.020360987228028,13,5,== Biography == | === Career ===
