types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Country,http://dbpedia.org/resource/Demographics_of_Tonga,Tongan,308,106,0.4838962024563146,0.5302109144059463,1,2,== Background ==
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Malie,Malie,12,64,0.9998583391449012,0.0,0,11,== Selected Discography == | === 78 RPM ===
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInSamoa,http://dbpedia.org/resource/Malie,Malie,12,64,0.9998583391449012,0.0,0,11,== Selected Discography == | === 78 RPM ===
http://dbpedia.org/ontology/Village,http://dbpedia.org/resource/Malie,Malie,12,64,0.9998583391449012,0.0,0,11,== Selected Discography == | === 78 RPM ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Malie,Malie,12,64,0.9998583391449012,0.0,0,11,== Selected Discography == | === 78 RPM ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Malie,Malie,12,64,0.9998583391449012,0.0,0,11,== Selected Discography == | === 78 RPM ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Malie,Malie,12,64,0.9998583391449012,0.0,0,11,== Selected Discography == | === 78 RPM ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Malie,Malie,12,64,0.9998583391449012,0.0,0,11,== Selected Discography == | === 78 RPM ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Malie,Malie,12,64,0.9998583391449012,0.0,0,11,== Selected Discography == | === 78 RPM ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Malie,Malie,12,64,0.9998583391449012,0.0,0,11,== Selected Discography == | === 78 RPM ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Malie,Malie,12,64,0.9998583391449012,0.0,0,11,== Selected Discography == | === 78 RPM ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Malie,Malie,12,64,0.9998583391449012,0.0,0,11,== Selected Discography == | === 78 RPM ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Malie,Malie,12,64,0.9998583391449012,0.0,0,11,== Selected Discography == | === 78 RPM ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Malie,Malie,12,64,0.9998583391449012,0.0,0,11,== Selected Discography == | === 78 RPM ===
http://dbpedia.org/ontology/MythologicalFigure,http://dbpedia.org/resource/Polynesian_narrative,Polynesian,181,47,0.5510175679497676,0.5541039473194979,0,12,== Selected Discography == | === 78 RPM ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/TANZA,TANZA,6,0,0.999999999999929,0.0,1,16,== Selected Discography == | === TANZA Releases ===
http://dbpedia.org/class/yago/WikicatDefunctCompaniesOfNewZealand,http://dbpedia.org/resource/TANZA,TANZA,6,0,0.999999999999929,0.0,1,16,== Selected Discography == | === TANZA Releases ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/TANZA,TANZA,6,0,0.999999999999929,0.0,1,16,== Selected Discography == | === TANZA Releases ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/TANZA,TANZA,6,0,0.999999999999929,0.0,1,16,== Selected Discography == | === TANZA Releases ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/TANZA,TANZA,6,0,0.999999999999929,0.0,1,16,== Selected Discography == | === TANZA Releases ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/TANZA,TANZA,6,0,0.999999999999929,0.0,1,16,== Selected Discography == | === TANZA Releases ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/TANZA,TANZA,6,0,0.999999999999929,0.0,1,16,== Selected Discography == | === TANZA Releases ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/TANZA,TANZA,6,0,0.999999999999929,0.0,1,16,== Selected Discography == | === TANZA Releases ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/TANZA,TANZA,6,0,0.999999999999929,0.0,1,16,== Selected Discography == | === TANZA Releases ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/TANZA,TANZA,6,0,0.999999999999929,0.0,1,16,== Selected Discography == | === TANZA Releases ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/TANZA,TANZA,6,0,0.999999999999929,0.0,1,16,== Selected Discography == | === TANZA Releases ===
http://dbpedia.org/class/yago/WikicatNewZealandRecordLabels,http://dbpedia.org/resource/TANZA,TANZA,6,0,0.999999999999929,0.0,1,16,== Selected Discography == | === TANZA Releases ===
