types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAustralianClassicalHornPlayers,http://dbpedia.org/resource/Geoff_Collinson,Geoff Collinson,12,39,1.0,0.0,3,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/Academician109759069,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/Contestant109613191,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/Educator110045713,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/Player110439851,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Will_Sanders,Will Sanders,12,105,1.0,0.0,4,3,== Biography == | === Education ===
