types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatGrammarsOfSpecificLanguages,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
http://dbpedia.org/class/yago/WikicatRomanceLanguages,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
http://dbpedia.org/class/yago/DescriptiveLinguistics106181584,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
http://dbpedia.org/class/yago/Discipline105996646,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
http://dbpedia.org/class/yago/Grammar106174404,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
http://dbpedia.org/class/yago/KnowledgeDomain105999266,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
http://dbpedia.org/class/yago/Language106282651,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
http://dbpedia.org/class/yago/Linguistics106172789,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
http://dbpedia.org/class/yago/Science105999797,http://dbpedia.org/resource/Italian_grammar,Italian grammar,51,188,0.9999999998484554,0.0,4,134,== Interests and activities == | === Chess ===
