types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://purl.org/ontology/bibo/Book,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://schema.org/Book,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://schema.org/CreativeWork,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://www.wikidata.org/entity/Q234460,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://www.wikidata.org/entity/Q386724,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://www.wikidata.org/entity/Q571,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://dbpedia.org/class/yago/WikicatBooksByShelSilverstein,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://dbpedia.org/class/yago/Book106410904,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://dbpedia.org/ontology/WrittenWork,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
http://dbpedia.org/class/yago/Wikicat2006Books,http://dbpedia.org/resource/Runny_Babbit,Runny Babbit,6,0,0.999999966590338,0.0,0,65,== Works == | === Bibliography ===
