types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Agricultural_show,A&P,587,346,0.9998939721121418,7.611302047019747e-05,1,10,== Career == | === Radio ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Agricultural_show,A&P,587,346,0.9998939721121418,7.611302047019747e-05,1,10,== Career == | === Radio ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Agricultural_show,A&P,587,346,0.9998939721121418,7.611302047019747e-05,1,10,== Career == | === Radio ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Agricultural_show,A&P,587,346,0.9998939721121418,7.611302047019747e-05,1,10,== Career == | === Radio ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Agricultural_show,A&P,587,346,0.9998939721121418,7.611302047019747e-05,1,10,== Career == | === Radio ===
http://dbpedia.org/class/yago/Entertainment100429048,http://dbpedia.org/resource/Agricultural_show,A&P,587,346,0.9998939721121418,7.611302047019747e-05,1,10,== Career == | === Radio ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Agricultural_show,A&P,587,346,0.9998939721121418,7.611302047019747e-05,1,10,== Career == | === Radio ===
http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/resource/Agricultural_show,A&P,587,346,0.9998939721121418,7.611302047019747e-05,1,10,== Career == | === Radio ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Agricultural_show,A&P,587,346,0.9998939721121418,7.611302047019747e-05,1,10,== Career == | === Radio ===
http://dbpedia.org/class/yago/Show100520257,http://dbpedia.org/resource/Agricultural_show,A&P,587,346,0.9998939721121418,7.611302047019747e-05,1,10,== Career == | === Radio ===
http://dbpedia.org/class/yago/WikicatAgriculturalShows,http://dbpedia.org/resource/Agricultural_show,A&P,587,346,0.9998939721121418,7.611302047019747e-05,1,10,== Career == | === Radio ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Agricultural_show,A&P,587,346,0.9998939721121418,7.611302047019747e-05,1,10,== Career == | === Radio ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Agricultural_show,A&P,587,346,0.9998939721121418,7.611302047019747e-05,1,10,== Career == | === Radio ===
