types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/class/yago/WikicatAmericanPoems,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/ontology/Poem,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/class/yago/WikicatPoems,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/class/yago/WikicatNarrativePoems,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/class/yago/WikicatShortStoriesByEdgarAllanPoe,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/class/yago/Fiction106367107,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/class/yago/Poem106377442,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/class/yago/ShortStory106371999,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/class/yago/Story106369829,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
http://dbpedia.org/class/yago/Wikicat1845Poems,http://dbpedia.org/resource/The_Raven,Nevermore,610,0,0.826249510015445,0.1867291301302018,1,6,== Biography == | === Nevermore (1991–2011) ===
