types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/WikicatAlbumsProducedByAyatollah,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/WikicatAlbumsProducedByGodfatherDon,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/WikicatAlbumsProducedByHavoc,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/WikicatAlbumsProducedByShaMoneyXL,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/WikicatAlbumsProducedByTheAlchemist,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/ontology/Album,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/WikicatCormegaAlbums,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/Album106591815,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/Wikicat2001Albums,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/Wikicat2001DebutAlbums,http://dbpedia.org/resource/The_Realness,The Realness,10,52,1.0,0.0,0,54,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/WikicatPoliticalPartiesDisestablishedIn1989,http://dbpedia.org/resource/United_Goans_Party,UGP,142,32,0.9999999999980104,0.0,0,79,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/WikicatPoliticalPartiesEstablishedIn1963,http://dbpedia.org/resource/United_Goans_Party,UGP,142,32,0.9999999999980104,0.0,0,79,== Discography == | === Vocal appearances ===
http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/resource/United_Goans_Party,UGP,142,32,0.9999999999980104,0.0,0,79,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/WikicatDefunctPoliticalPartiesInGoa,http://dbpedia.org/resource/United_Goans_Party,UGP,142,32,0.9999999999980104,0.0,0,79,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/United_Goans_Party,UGP,142,32,0.9999999999980104,0.0,0,79,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/United_Goans_Party,UGP,142,32,0.9999999999980104,0.0,0,79,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/United_Goans_Party,UGP,142,32,0.9999999999980104,0.0,0,79,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/United_Goans_Party,UGP,142,32,0.9999999999980104,0.0,0,79,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/United_Goans_Party,UGP,142,32,0.9999999999980104,0.0,0,79,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/United_Goans_Party,UGP,142,32,0.9999999999980104,0.0,0,79,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/Party108256968,http://dbpedia.org/resource/United_Goans_Party,UGP,142,32,0.9999999999980104,0.0,0,79,== Discography == | === Vocal appearances ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/United_Goans_Party,UGP,142,32,0.9999999999980104,0.0,0,79,== Discography == | === Vocal appearances ===
