types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Low-pressure_area,trough,3349,143,0.8254534244415099,0.1746952093750291,3,23,== Other endeavors == | === Cooking ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Low-pressure_area,trough,3349,143,0.8254534244415099,0.1746952093750291,3,23,== Other endeavors == | === Cooking ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Low-pressure_area,trough,3349,143,0.8254534244415099,0.1746952093750291,3,23,== Other endeavors == | === Cooking ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Low-pressure_area,trough,3349,143,0.8254534244415099,0.1746952093750291,3,23,== Other endeavors == | === Cooking ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Low-pressure_area,trough,3349,143,0.8254534244415099,0.1746952093750291,3,23,== Other endeavors == | === Cooking ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Low-pressure_area,trough,3349,143,0.8254534244415099,0.1746952093750291,3,23,== Other endeavors == | === Cooking ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Low-pressure_area,trough,3349,143,0.8254534244415099,0.1746952093750291,3,23,== Other endeavors == | === Cooking ===
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/Low-pressure_area,trough,3349,143,0.8254534244415099,0.1746952093750291,3,23,== Other endeavors == | === Cooking ===
http://dbpedia.org/class/yago/RoundShape113865483,http://dbpedia.org/resource/Low-pressure_area,trough,3349,143,0.8254534244415099,0.1746952093750291,3,23,== Other endeavors == | === Cooking ===
http://dbpedia.org/class/yago/Shape100027807,http://dbpedia.org/resource/Low-pressure_area,trough,3349,143,0.8254534244415099,0.1746952093750291,3,23,== Other endeavors == | === Cooking ===
http://dbpedia.org/class/yago/Whirl113878112,http://dbpedia.org/resource/Low-pressure_area,trough,3349,143,0.8254534244415099,0.1746952093750291,3,23,== Other endeavors == | === Cooking ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Low-pressure_area,trough,3349,143,0.8254534244415099,0.1746952093750291,3,23,== Other endeavors == | === Cooking ===
http://dbpedia.org/class/yago/WikicatBasicMeteorologicalConceptsAndPhenomena,http://dbpedia.org/resource/Low-pressure_area,trough,3349,143,0.8254534244415099,0.1746952093750291,3,23,== Other endeavors == | === Cooking ===
http://dbpedia.org/class/yago/WikicatVortices,http://dbpedia.org/resource/Low-pressure_area,trough,3349,143,0.8254534244415099,0.1746952093750291,3,23,== Other endeavors == | === Cooking ===
