types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/TopicalConcept,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/WikicatPercussionPerformanceTechniques,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/WikicatDrumStrokes,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/WikicatMusicalTechniques,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/Maneuver100556313,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/Motion100279835,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/Stroke100565302,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
http://dbpedia.org/class/yago/Technique105665146,http://dbpedia.org/resource/Rimshot,rim shot,53,27,0.9999999999023856,0.0,4,58,== Television == | === Advertising ===
