types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Songwriter,songwriter,8871,86,0.9999561704091536,4.032471082103877e-05,"Geddy Lee  (born Gary Lee Weinrib; July 29, 1953) is a Canadian musician, singer, and songwriter.",0,0,
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Songwriter,songwriter,8871,86,0.9999561704091536,4.032471082103877e-05,"Geddy Lee  (born Gary Lee Weinrib; July 29, 1953) is a Canadian musician, singer, and songwriter.",0,0,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Bass_guitar,bass,47268,68,0.9999805584681514,1.906560656683852e-05,"An award-winning musician, Lee's style, technique, and skill on the bass have inspired many rock musicians such as Cliff Burton of Metallica, Steve Harris of Iron Maiden, John Myung of Dream Theater, Les Claypool of Primus, Steve Di Giorgio of Sadus, Death and Testament, and Tim Commerford of Rage Against the Machine and Audioslave.",0,1,
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Bass_guitar,bass,47268,68,0.9999805584681514,1.906560656683852e-05,"An award-winning musician, Lee's style, technique, and skill on the bass have inspired many rock musicians such as Cliff Burton of Metallica, Steve Harris of Iron Maiden, John Myung of Dream Theater, Les Claypool of Primus, Steve Di Giorgio of Sadus, Death and Testament, and Tim Commerford of Rage Against the Machine and Audioslave.",0,1,
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Bass_guitar,bass,47268,68,0.9999805584681514,1.906560656683852e-05,"An award-winning musician, Lee's style, technique, and skill on the bass have inspired many rock musicians such as Cliff Burton of Metallica, Steve Harris of Iron Maiden, John Myung of Dream Theater, Les Claypool of Primus, Steve Di Giorgio of Sadus, Death and Testament, and Tim Commerford of Rage Against the Machine and Audioslave.",0,1,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/List_of_Mega_Man_characters,Rush,19,15,0.9824995885081544,0.0160777323789705,"Along with his Rush bandmates – guitarist Alex Lifeson and drummer Neil Peart – Lee was made an Officer of the Order of Canada on May 9, 1996.",1,1,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Manya_Harari,Manya,13,193,0.9999184102680806,5.0198995218143054e-05,"Lee was born on July 29, 1953, in the North York neighbourhood of Willowdale, Toronto, to Morris Weinrib (born Moshe Meir Weinrib; August 5, 1920 – October 8, 1965), from Ostrowce, and Mary ""Manya"" Rubinstein (born Malka Rubinstein; July 16, 1925 – July 2, 2021), who was born in Warsaw and later grew up in Wierzbnik.",0,3,== Early life ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Manya_Harari,Manya,13,193,0.9999184102680806,5.0198995218143054e-05,"Lee was born on July 29, 1953, in the North York neighbourhood of Willowdale, Toronto, to Morris Weinrib (born Moshe Meir Weinrib; August 5, 1920 – October 8, 1965), from Ostrowce, and Mary ""Manya"" Rubinstein (born Malka Rubinstein; July 16, 1925 – July 2, 2021), who was born in Warsaw and later grew up in Wierzbnik.",0,3,== Early life ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Manya_Harari,Manya,13,193,0.9999184102680806,5.0198995218143054e-05,"Lee was born on July 29, 1953, in the North York neighbourhood of Willowdale, Toronto, to Morris Weinrib (born Moshe Meir Weinrib; August 5, 1920 – October 8, 1965), from Ostrowce, and Mary ""Manya"" Rubinstein (born Malka Rubinstein; July 16, 1925 – July 2, 2021), who was born in Warsaw and later grew up in Wierzbnik.",0,3,== Early life ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Manya_Harari,Manya,13,193,0.9999184102680806,5.0198995218143054e-05,"Lee was born on July 29, 1953, in the North York neighbourhood of Willowdale, Toronto, to Morris Weinrib (born Moshe Meir Weinrib; August 5, 1920 – October 8, 1965), from Ostrowce, and Mary ""Manya"" Rubinstein (born Malka Rubinstein; July 16, 1925 – July 2, 2021), who was born in Warsaw and later grew up in Wierzbnik.",0,3,== Early life ==
http://dbpedia.org/class/yago/WikicatRussian–EnglishTranslators,http://dbpedia.org/resource/Manya_Harari,Manya,13,193,0.9999184102680806,5.0198995218143054e-05,"Lee was born on July 29, 1953, in the North York neighbourhood of Willowdale, Toronto, to Morris Weinrib (born Moshe Meir Weinrib; August 5, 1920 – October 8, 1965), from Ostrowce, and Mary ""Manya"" Rubinstein (born Malka Rubinstein; July 16, 1925 – July 2, 2021), who was born in Warsaw and later grew up in Wierzbnik.",0,3,== Early life ==
