types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHinduCommunities,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/class/yago/WikicatDravidianPeoples,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/class/yago/WikicatScheduledTribesOfAndhraPradesh,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/class/yago/WikicatScheduledTribesOfChhattisgarh,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/class/yago/WikicatScheduledTribesOfJharkhand,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/class/yago/WikicatScheduledTribesOfMadhyaPradesh,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/class/yago/WikicatSocialGroupsOfUttarPradesh,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Community108223802,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Gathering107975026,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
