types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/WikicatHoneyPlants,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/ontology/Plant,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/WoodyPlant113103136,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/WikicatMedicinalPlants,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/GardenPlant113083306,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/HoneyPlant113237075,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/Hoya113236887,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/Plant100017222,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/Tree113104059,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/VascularPlant113083586,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/Vine113100677,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Prunus_avium,Wild Cherry,256,56,0.8507430647723447,0.1754430139612994,0,12,== Career == | === The X Factor and singing career ===
