types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Nuvola,nuvola,22,35,0.9999999997382644,2.617318817334751e-10,1,10,== Major translations == | === Italo Calvino ===
http://dbpedia.org/class/yago/WikicatGraphicalUserInterfaces,http://dbpedia.org/resource/Nuvola,nuvola,22,35,0.9999999997382644,2.617318817334751e-10,1,10,== Major translations == | === Italo Calvino ===
http://dbpedia.org/class/yago/WikicatComputerIcons,http://dbpedia.org/resource/Nuvola,nuvola,22,35,0.9999999997382644,2.617318817334751e-10,1,10,== Major translations == | === Italo Calvino ===
http://dbpedia.org/class/yago/WikicatDesktopEnvironments,http://dbpedia.org/resource/Nuvola,nuvola,22,35,0.9999999997382644,2.617318817334751e-10,1,10,== Major translations == | === Italo Calvino ===
http://dbpedia.org/class/yago/Work100575741,http://dbpedia.org/resource/Nuvola,nuvola,22,35,0.9999999997382644,2.617318817334751e-10,1,10,== Major translations == | === Italo Calvino ===
http://dbpedia.org/class/yago/Writing106359877,http://dbpedia.org/resource/Nuvola,nuvola,22,35,0.9999999997382644,2.617318817334751e-10,1,10,== Major translations == | === Italo Calvino ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Nuvola,nuvola,22,35,0.9999999997382644,2.617318817334751e-10,1,10,== Major translations == | === Italo Calvino ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Nuvola,nuvola,22,35,0.9999999997382644,2.617318817334751e-10,1,10,== Major translations == | === Italo Calvino ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Nuvola,nuvola,22,35,0.9999999997382644,2.617318817334751e-10,1,10,== Major translations == | === Italo Calvino ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Nuvola,nuvola,22,35,0.9999999997382644,2.617318817334751e-10,1,10,== Major translations == | === Italo Calvino ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Nuvola,nuvola,22,35,0.9999999997382644,2.617318817334751e-10,1,10,== Major translations == | === Italo Calvino ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Nuvola,nuvola,22,35,0.9999999997382644,2.617318817334751e-10,1,10,== Major translations == | === Italo Calvino ===
http://dbpedia.org/class/yago/Code106355894,http://dbpedia.org/resource/Nuvola,nuvola,22,35,0.9999999997382644,2.617318817334751e-10,1,10,== Major translations == | === Italo Calvino ===
http://dbpedia.org/class/yago/CodingSystem106353757,http://dbpedia.org/resource/Nuvola,nuvola,22,35,0.9999999997382644,2.617318817334751e-10,1,10,== Major translations == | === Italo Calvino ===
