types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Cabot_family,Cabot,110,7,0.8963382750596405,0.1151847521712396,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Actor,actor,34508,69,0.9997441147272328,0.00023267991290290056,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Actor,actor,34508,69,0.9997441147272328,0.00023267991290290056,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Songwriter,songwriter,8871,90,0.999970219404717,2.462428658432415e-05,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Songwriter,songwriter,8871,90,0.999970219404717,2.462428658432415e-05,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Teen_idol,teen idol,431,114,1.0,0.0,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Teen_idol,teen idol,431,114,1.0,0.0,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Teen_idol,teen idol,431,114,1.0,0.0,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Teen_idol,teen idol,431,114,1.0,0.0,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Teen_idol,teen idol,431,114,1.0,0.0,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://dbpedia.org/class/yago/Effigy103265874,http://dbpedia.org/resource/Teen_idol,teen idol,431,114,1.0,0.0,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://dbpedia.org/class/yago/Idol103560161,http://dbpedia.org/resource/Teen_idol,teen idol,431,114,1.0,0.0,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Teen_idol,teen idol,431,114,1.0,0.0,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Teen_idol,teen idol,431,114,1.0,0.0,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://dbpedia.org/class/yago/Representation104076846,http://dbpedia.org/resource/Teen_idol,teen idol,431,114,1.0,0.0,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Teen_idol,teen idol,431,114,1.0,0.0,"Robert Cabot Sherman Jr. (born July 22, 1943) is an American singer, actor and occasional songwriter who became a teen idol in the late 1960s and early 1970s.",0,0,
