s,label,image,birthdate,deathdate,wikidataId,abstract
http://dbpedia.org/resource/Hamilton_Camp,Hamilton Camp,http://commons.wikimedia.org/wiki/Special:FilePath/Hamilton_Camp_Sweet_Joy_Cropped.jpg?width=300,1934-10-30,2005-10-02,http://www.wikidata.org/entity/Q323503,"Hamilton Camp (Born Robin S. Camp, 30 October 1934 – 2 October 2005) was a London-born actor and singer, who relocated to the United States with his family when he was a young child. He became an Ameican folk singer during he 1960s, and eventually branched out into acting in films and television."
http://dbpedia.org/resource/Abdul_Hamid_II,Abdul Hamid II,http://commons.wikimedia.org/wiki/Special:FilePath/Sultan_Abdulhamid.jpg?width=300,1842-09-21,1918-02-10,http://www.wikidata.org/entity/Q134817,"Abdülhamid or Abdul Hamid II (Ottoman Turkish: عبد الحميد ثانی, romanized: Abd ül-Hamid-i Sani; Turkish: II. Abdülhamid; 21 September 1842 – 10 February 1918) was the sultan of the Ottoman Empire from 31 August 1876 to 27 April 1909, and the last sultan to exert effective control over the fracturing state. The time period which he reigned in the Ottoman Empire is known as the Hamidian Era. He oversaw a period of decline, with rebellions (particularly in the Balkans), and he presided over an unsuccessful war with the Russian Empire (1877–1878) followed by a successful war against the Kingdom of Greece in 1897, though Ottoman gains were tempered by subsequent Western European intervention. In accordance with an agreement made with the Republican Young Ottomans, he promulgated the Ottoman Empire's first Constitution, which was a sign of progressive thinking that marked his early rule. However, in 1878, citing disagreements with the Ottoman Parliament, he suspended both the short-lived constitution and the parliament. The modernization of the Ottoman Empire continued during his reign, including reform of the bureaucracy, the extension of the Rumelia Railway and of the Anatolia Railway, and the construction of the Baghdad Railway and of the Hejaz Railway. In addition, systems for population registration and control over the press were established, along with the first local modern law-school in 1898. The most far-reaching of the reforms occurred in education: many professional schools were established for fields including the law, arts, trades, civil engineering, veterinary medicine, customs, farming, and linguistics. Although Abdul Hamid II closed Istanbul University in 1881, it re-opened in 1900, and a network of secondary, primary, and military schools was extended throughout the empire. German firms played a major role in developing the Empire's railway and telegraph-systems. This modernization cost the empire its economic sovereignty, as its finances came under control of the Great Powers through the Ottoman Public Debt Administration. During Abdul Hamid's reign the Ottoman Empire became known for the massacres of Armenians and Assyrians of 1894–1896. Many attempts were made on Abdul Hamid's life during his reign. Amongst the many assassination attempts against him, one of the most famous is the Yıldız assassination attempt of 1905 by the Armenian Revolutionary Federation. Large sections of the Ottoman intelligentsia also sharply criticized and opposed him due to his use of secret police to silence dissent and the Young Turks movement. In 1908, a secret revolutionary Young Turks organization known as the Committee of Union and Progress forced Abdul Hamid II to recall the parliament and reinstate the constitution in the Young Turk Revolution. Abdul Hamid attempted to reassert his absolutism a year later, resulting in his deposition by Unionist forces in an event known as the 31 March Incident in 1909."
http://dbpedia.org/resource/Lewis_Arquette,Lewis Arquette,http://commons.wikimedia.org/wiki/Special:FilePath/Lewis_Arquette.jpg?width=300,1935-12-14,2001-02-10,http://www.wikidata.org/entity/Q960993,"Lewis Michael Arquette (December 14, 1935 – February 10, 2001) was an American film actor, writer, and producer. Arquette was known for playing J.D. Pickett on the television series The Waltons, on which he worked from 1978 to 1981."
http://dbpedia.org/resource/Jakub_Berman,Jakub Berman,http://commons.wikimedia.org/wiki/Special:FilePath/Jakub_Berman.jpg?width=300,1901-12-23,1984-04-10,http://www.wikidata.org/entity/Q1679661,"Jakub Berman (23 December 1901 – 10 April 1984) was a Polish communist politician. An activist during the Second Polish Republic, in post-war communist Poland he was a member of the Politburo of the Polish Workers' Party (PPR) and then of the Polish United Workers' Party (PZPR). From 1948, he was considered the second most powerful politician in Poland after Bierut, until removed from power in 1956, following Bierut's death. Berman also oversaw Poland's cultural affairs. Alongside President Bolesław Bierut, Berman was responsible for party oversight of the Stalinist Ministry of Public Security, commonly known as the ""UB"". Under Berman's leadership, 200,000 people were imprisoned for alleged political crimes, and 6000 were executed."
http://dbpedia.org/resource/Rusdi_Kirana,Rusdi Kirana,,1963-08-17,,http://www.wikidata.org/entity/Q18421320,"Rusdi Kirana (born 17 August 1963) is an Indonesian businessman. He is the founder of Indonesian budget no-frills airline Lion Air which introduced both domestic and international flights, using the slogan, ""We make people fly"". On January 19, 2015, he was chosen by President Joko Widodo to become a member of the . In the political field, since January 12, 2014, he served as Deputy Chairperson of the National Awakening Party."
http://dbpedia.org/resource/Bob_Gibson,Bob Gibson,http://commons.wikimedia.org/wiki/Special:FilePath/Bob_Gibson_crop.jpg?width=300,1935-11-09,2020-10-02,http://www.wikidata.org/entity/Q1131535,"Robert Gibson (born Pack Robert Gibson; November 9, 1935 – October 2, 2020) was an American professional baseball pitcher who played 17 seasons in Major League Baseball (MLB) for the St. Louis Cardinals (1959–1975). Nicknamed ""Gibby"" and ""Hoot"" (after actor Hoot Gibson), Gibson tallied 251 wins, 3,117 strikeouts, and a 2.91 earned run average (ERA) during his career. A nine-time All-Star and two-time World Series champion, he won two Cy Young Awards and the 1968 National League (NL) Most Valuable Player (MVP) Award. Known for a fiercely competitive nature and for intimidating opposing batters, he was elected in 1981 to the Baseball Hall of Fame in his first year of eligibility. The Cardinals retired his uniform number 45 in September 1975 and inducted him into the team Hall of Fame in 2014. Born in Omaha, Nebraska, Gibson overcame childhood illness to excel in youth sports, particularly basketball and baseball. After briefly playing under contract to both the Harlem Globetrotters basketball team and the St. Louis Cardinals organization, Gibson decided to continue playing only baseball professionally. He became a full-time starting pitcher in July 1961 and earned his first All-Star appearance in 1962. Gibson won 2 of 3 games he pitched in the 1964 World Series, then won 20 games in a season for the first time in 1965. Gibson also pitched three complete game victories in the 1967 World Series. The pinnacle of Gibson's career was 1968, when he posted a 1.12 ERA for the season and then recorded 17 strikeouts in Game 1 of the 1968 World Series. Gibson threw a no-hitter in 1971 but began experiencing swelling in his knee in subsequent seasons. At the time of his retirement in 1975, Gibson ranked second only to Walter Johnson among major-league pitchers in career strikeouts. After retiring as a player in 1975, Gibson later served as pitching coach for his former teammate Joe Torre. At one time a special instructor coach for the St. Louis Cardinals, Gibson was later selected for the Major League Baseball All-Century Team in 1999. Gibson was the author of the memoir Pitch by Pitch, with Lonnie Wheeler. Gibson died of pancreatic cancer on October 2, 2020, exactly 52 years after his memorable 1968 World Series Game 1 performance in which he struck out 17 Detroit Tigers."
http://dbpedia.org/resource/Gram_Parsons,Gram Parsons,http://commons.wikimedia.org/wiki/Special:FilePath/Gram_Parsons.jpg?width=300,1946-11-05,1973-09-19,http://www.wikidata.org/entity/Q438124,"Ingram Cecil Connor III (November 5, 1946 – September 19, 1973) who was known professionally as Gram Parsons, was an American singer, songwriter, guitarist, and pianist who recorded as a solo artist and with the International Submarine Band, the Byrds, and the Flying Burrito Brothers, popularizing what he called ""Cosmic American Music"", a hybrid of country, rhythm and blues, soul, folk, and rock. Parsons was born in Winter Haven, Florida, and developed an interest in country music while attending Harvard University. He founded the International Submarine Band in 1966, but the group disbanded prior to the 1968 release of its debut album, Safe at Home. Parsons joined the Byrds in early 1968 and played a pivotal role in the making of the Sweetheart of the Rodeo album, a seminal album in the country rock genre. After leaving the group in late 1968, Parsons and fellow Byrd Chris Hillman formed The Flying Burrito Brothers in 1969; the band released its debut, The Gilded Palace of Sin, the same year. The album was well received but failed commercially. After a sloppy cross-country tour, the band hastily recorded Burrito Deluxe. Parsons was fired from the band before the album's release in early 1970. Parsons spent the first half of 1971 with Keith Richards of the Rolling Stones, living in his French villa Nellcôte during the recording sessions for Exile on Main Street, though he contributed very little to the recording process itself. After traveling around Britain with friends in late 1971, he was treated for heroin addiction and returned to the U.S., where he was introduced to Emmylou Harris, who assisted him on vocals for his first solo record, GP, released in 1973. Although it received enthusiastic reviews, the release failed to chart. His health deteriorated due to several years of drug abuse culminating in his death from a toxic combination of morphine and alcohol in 1973 at the age of 26. A posthumous solo album, Grievous Angel, peaked at number 195 on the Billboard chart. Parsons's relatively short career was described by AllMusic as ""enormously influential"" for country and rock, ""blending the two genres to the point that they became indistinguishable from each other."" He has been credited with helping to found the country rock and alt-country genres. His posthumous honors include the Americana Music Association ""President's Award"" for 2003 and a ranking at No. 87 on Rolling Stone's list of the ""100 Greatest Artists of All Time."""
http://dbpedia.org/resource/Gordon_Lightfoot,Gordon Lightfoot,http://commons.wikimedia.org/wiki/Special:FilePath/GordonLightfoot_Interlochen.jpg?width=300,1938-11-17,,http://www.wikidata.org/entity/Q359552,"Gordon Meredith Lightfoot Jr. CC OOnt (born November 17, 1938) is a Canadian singer-songwriter and guitarist who achieved international success in folk, folk-rock, and country music. He is credited with helping to define the folk-pop sound of the 1960s and 1970s. He has been referred to as Canada's greatest songwriter and is known internationally as a folk-rock legend. Lightfoot's biographer Nicholas Jennings said ""His name is synonymous with timeless songs about trains and shipwrecks, rivers and highways, lovers and loneliness."" Lightfoot's songs, including ""For Lovin' Me"", ""Early Morning Rain"", ""Steel Rail Blues"", ""Ribbon of Darkness""—a number one hit on the U.S. country chart with Marty Robbins's cover in 1965—and ""Black Day in July"", about the 1967 Detroit riot, brought him wide recognition in the 1960s. Canadian chart success with his own recordings began in 1962 with the No. 3 hit ""(Remember Me) I'm the One"", followed by recognition and charting abroad in the 1970s. He topped the US Hot 100 or AC chart with the hits ""If You Could Read My Mind"" (1970), ""Sundown"" (1974); ""Carefree Highway"" (1974), ""Rainy Day People"" (1975), and ""The Wreck of the Edmund Fitzgerald"" (1976), and had many other hits that appeared in the top 40. Several of Lightfoot's albums achieved gold and multi-platinum status internationally. His songs have been recorded by artists such as Elvis Presley, Johnny Cash, Hank Williams Jr., The Kingston Trio, Jerry Lee Lewis, Neil Young, Bob Dylan, Judy Collins, Barbra Streisand, Johnny Mathis, Herb Alpert, Harry Belafonte, Sarah McLachlan, Eric Clapton, John Mellencamp, Peter, Paul and Mary, Ian & Sylvia, Glen Campbell, Tony Rice, The Grateful Dead, Nico, Olivia Newton-John, Gene Clark, Dan Fogelberg, Jimmy Buffett, and Jim Croce. The Guess Who recorded a song called ""Lightfoot"" on their 1968 album Wheatfield Soul; the lyrics contain many Lightfoot song titles. Robbie Robertson of the Band described Lightfoot as ""a national treasure"". Bob Dylan, also a Lightfoot fan, called him one of his favorite songwriters and said, ""I can't think of any Gordon Lightfoot song I don't like. Everytime I hear a song of his, it's like I wish it would last forever.... Lightfoot became a mentor for a long time. I think he probably still is to this day"". Lightfoot was a featured musical performer at the opening ceremonies of the 1988 Winter Olympic Games in Calgary, Alberta. He received an honorary Doctor of Laws degree from Trent University in Spring 1979 and was made a Companion of the Order of Canada in May 2003. In November 1997, the Governor General's Performing Arts Award, Canada's highest honour in the performing arts, was bestowed on Lightfoot. On February 6, 2012, Lightfoot was presented with the Queen Elizabeth II Diamond Jubilee Medal by the Lieutenant Governor of Ontario. June of that year saw his induction into the Songwriters Hall of Fame. On June 6, 2015, Lightfoot received an honorary doctorate of music in his hometown of Orillia from Lakehead University."
http://dbpedia.org/resource/Al-Waqidi,Al-Waqidi,,0747-09-14,0823-05-01,http://www.wikidata.org/entity/Q285255,"Abu `Abdullah Muhammad Ibn ‘Omar Ibn Waqid al-Aslami (Arabic أبو عبد الله محمد بن عمر بن واقد الاسلمي) (c. 130 – 207 AH; c. 747 – 823 AD) was a historian commonly referred to as al-Waqidi (Arabic: الواقدي). His surname is derived from his grandfather's name Waqid and thus he became famous as al-Imam al-Waqidi. Al-Waqidi was an early Muslim historian and biographer of the Islamic prophet Muhammad, specializing in his military campaigns. He served as a judge (qadi) for the Abbasid caliph al-Ma'mun. Several of al-Waqidi's works are known through his scribe and student (in the field of the al-maghazi genre), Ibn Sa'd."
http://dbpedia.org/resource/Raphael_Grinage,Raphael Grinage,,1931-01-04,1993-12-15,http://www.wikidata.org/entity/Q7293964,Raphael Grinage was an American jazz and folk musician and composer.
