s,label,image,birthdate,deathdate,wikidataId,abstract
http://dbpedia.org/resource/Ray_Willis,Ray Willis,http://commons.wikimedia.org/wiki/Special:FilePath/Ray_Willis.jpg?width=300,1982-08-13,,http://www.wikidata.org/entity/Q7298302,"Ray Willis (born August 13, 1982) is a former American football offensive tackle who last played for the Kansas City Chiefs of the National Football League (NFL). He was selected by the Seattle Seahawks in the 4th round (105th overall pick) of the 2005 NFL Draft. He played college football for the Florida State University Seminoles. He has also been a member of the Miami Dolphins, New Orleans Saints and New York Jets."
http://dbpedia.org/resource/Duke_Ellington,Duke Ellington,http://commons.wikimedia.org/wiki/Special:FilePath/Duke_Ellington_-_publicity.jpg?width=300,1899-04-29,1974-05-24,http://www.wikidata.org/entity/Q4030,"Edward Kennedy ""Duke"" Ellington (April 29, 1899 – May 24, 1974) was an American jazz pianist, composer, and leader of his eponymous jazz orchestra from 1923 through the rest of his life. Born and raised in Washington, D.C., Ellington was based in New York City from the mid-1920s and gained a national profile through his orchestra's appearances at the Cotton Club in Harlem. A master at writing miniatures for the three-minute 78 rpm recording format, Ellington wrote or collaborated on more than one thousand compositions; his extensive body of work is the largest recorded personal jazz legacy, and many of his pieces have become standards. He also recorded songs written by his bandsmen, such as Juan Tizol's ""Caravan"", which brought a Spanish tinge to big band jazz. At the end of the 1930s, Ellington began a nearly thirty-year collaboration with composer-arranger-pianist Billy Strayhorn, whom he called his writing and arranging companion. With Strayhorn, he composed multiple extended compositions, or suites, as well as many short pieces. For a few years at the beginning of Strayhorn's involvement, Ellington's orchestra featured bassist Jimmy Blanton and tenor saxophonist Ben Webster and reached a creative peak. Some years later following a low-profile period (Hodges temporarily left), an appearance by Ellington and his orchestra at the Newport Jazz Festival in July 1956 led to a major revival and regular world tours. Ellington recorded for most American record companies of his era, performed in and scored several films, and composed a handful of stage musicals. Although a pivotal figure in the history of jazz, in the opinion of Gunther Schuller and Barry Kernfeld, ""the most significant composer of the genre"", Ellington himself embraced the phrase ""beyond category"", considering it a liberating principle, and referring to his music as part of the more general category of American Music. Ellington was known for his inventive use of the orchestra, or big band, as well as for his eloquence and charisma. He was awarded a posthumous Pulitzer Prize Special Award for music in 1999."
http://dbpedia.org/resource/Larry_Nance,Larry Nance,http://commons.wikimedia.org/wiki/Special:FilePath/Larry_Nance_-_Phoenix_Suns.jpg?width=300,1959-02-12,,http://www.wikidata.org/entity/Q1358452,"Larry Donnell Nance Sr. (born February 12, 1959) is an American former professional basketball player. A forward from Clemson University, Nance played 13 seasons (1981–1994) in the National Basketball Association (NBA) as a member of the Phoenix Suns and Cleveland Cavaliers. He was a three-time NBA All-Star."
http://dbpedia.org/resource/Earl_Hines,Earl Hines,http://commons.wikimedia.org/wiki/Special:FilePath/Maud_Cuney_Hare-155-Earl_Hines.jpg?width=300,1903-12-28,1983-04-22,http://www.wikidata.org/entity/Q354883,"Earl Kenneth Hines, also known as Earl ""Fatha"" Hines (December 28, 1903 – April 22, 1983), was an American jazz pianist and bandleader. He was one of the most influential figures in the development of jazz piano and, according to one source, ""one of a small number of pianists whose playing shaped the history of jazz"". The trumpeter Dizzy Gillespie (a member of Hines's big band, along with Charlie Parker) wrote, The piano is the basis of modern harmony. This little guy came out of Chicago, Earl Hines. He changed the style of the piano. You can find the roots of Bud Powell, Herbie Hancock, all the guys who came after that. If it hadn't been for Earl Hines blazing the path for the next generation to come, it's no telling where or how they would be playing now. There were individual variations but the style of … the modern piano came from Earl Hines. The pianist Lennie Tristano said, ""Earl Hines is the only one of us capable of creating real jazz and real swing when playing all alone."" Horace Silver said, ""He has a completely unique style. No one can get that sound, no other pianist"". Erroll Garner said, ""When you talk about greatness, you talk about Art Tatum and Earl Hines"". Count Basie said that Hines was ""the greatest piano player in the world""."
http://dbpedia.org/resource/Horace,Horace,http://commons.wikimedia.org/wiki/Special:FilePath/Quintus_Horatius_Flaccus.jpg?width=300,-0064-12-06,-0007-11-25,http://www.wikidata.org/entity/Q6197,"Quintus Horatius Flaccus (Classical Latin: [ˈkᶣiːn̪t̪ʊs̠ (h)ɔˈraːt̪iʊs̠ ˈfɫ̪akːʊs̠]; 8 December 65 – 27 November 8 BC), known in the English-speaking world as Horace (/ˈhɒrɪs/), was the leading Roman lyric poet during the time of Augustus (also known as Octavian). The rhetorician Quintilian regarded his Odes as just about the only Latin lyrics worth reading: ""He can be lofty sometimes, yet he is also full of charm and grace, versatile in his figures, and felicitously daring in his choice of words."" Horace also crafted elegant hexameter verses (Satires and Epistles) and caustic iambic poetry (Epodes). The hexameters are amusing yet serious works, friendly in tone, leading the ancient satirist Persius to comment: ""as his friend laughs, Horace slyly puts his finger on his every fault; once let in, he plays about the heartstrings"". His career coincided with Rome's momentous change from a republic to an empire. An officer in the republican army defeated at the Battle of Philippi in 42 BC, he was befriended by Octavian's right-hand man in civil affairs, Maecenas, and became a spokesman for the new regime. For some commentators, his association with the regime was a delicate balance in which he maintained a strong measure of independence (he was ""a master of the graceful sidestep"") but for others he was, in John Dryden's phrase, ""a well-mannered court slave""."
http://dbpedia.org/resource/Gerald_Henderson_Jr.,Gerald Henderson Jr.,http://commons.wikimedia.org/wiki/Special:FilePath/Gerald_Henderson_Bobcats_2.jpg?width=300,1987-12-09,,http://www.wikidata.org/entity/Q1244957,"Jerome McKinley ""Gerald"" Henderson Jr. (born December 9, 1987) is an American former professional basketball player who played eight seasons in the National Basketball Association (NBA). He played college basketball for the Duke Blue Devils. Henderson was drafted with the 12th overall pick in the 2009 NBA draft by the Charlotte Bobcats. He is the son of former NBA player Gerald Henderson."
http://dbpedia.org/resource/Larry_Nance_Jr.,Larry Nance Jr.,http://commons.wikimedia.org/wiki/Special:FilePath/Larry_Nance_(51658853155)_(cropped).jpg?width=300,1993-01-01,,http://www.wikidata.org/entity/Q19605398,"Larry Donnell Nance Jr. (born January 1, 1993) is an American professional basketball player for the New Orleans Pelicans of the National Basketball Association (NBA). He played college basketball for the Wyoming Cowboys, where he was considered one of the best big men in the Mountain West Conference after leading the 2014–15 team to their first NCAA Tournament appearance since 2002. Nance was drafted 27th overall in the 2015 NBA draft by the Los Angeles Lakers. He became part of the team's roster rebuild focusing around younger players, including fellow draftee D'Angelo Russell. Nance has also played with the Cleveland Cavaliers and Portland Trail Blazers."
http://dbpedia.org/resource/Cootie_Williams,Cootie Williams,http://commons.wikimedia.org/wiki/Special:FilePath/Cootie_Williams_(Gottlieb1).jpg?width=300,1911-07-10,1985-09-15,http://www.wikidata.org/entity/Q523899,"Charles Melvin ""Cootie"" Williams (July 10, 1911 – September 15, 1985) was an American jazz, jump blues, and rhythm and blues trumpeter."
http://dbpedia.org/resource/Benny_Goodman,Benny Goodman,http://commons.wikimedia.org/wiki/Special:FilePath/Benny_Goodman_1942.jpg?width=300,1909-05-30,1986-06-13,http://www.wikidata.org/entity/Q46755,"Benjamin David Goodman (May 30, 1909 – June 13, 1986) was an American clarinetist and bandleader known as the ""King of Swing"". From 1936 until the mid-1940s, Goodman led one of the most popular swing big bands in the United States. His concert at Carnegie Hall in New York City on January 16, 1938, is described by critic Bruce Eder as ""the single most important jazz or popular music concert in history: jazz's 'coming out' party to the world of 'respectable' music."" Goodman's bands started the careers of many jazz musicians. During an era of racial segregation, he led one of the first integrated jazz groups, his quartet and quintet. He performed nearly to the end of his life while exploring an interest in classical music."
http://dbpedia.org/resource/Russell_Procope,Russell Procope,http://commons.wikimedia.org/wiki/Special:FilePath/Russell_Procope.jpg?width=300,1908-08-11,1981-01-21,http://www.wikidata.org/entity/Q727269,"Russell Keith Procope (August 11, 1908 – January 21, 1981) was an American clarinetist and alto saxophonist who was a member of the Duke Ellington orchestra."
