s,label,image,birthdate,deathdate,wikidataId,abstract
http://dbpedia.org/resource/Ray_Harris,Ray Harris,,1927-09-07,2003-11-13,http://www.wikidata.org/entity/Q2133910,"Ray Harris (September 7, 1927 – November 13, 2003) was an American rockabilly musician and songwriter. He formed a band with Wayne Powers, and wrote the songs ""Come On, Little Mama"" and ""Greenback Dollar, Watch and Chain"". He eventually recorded these at Sun Records with Sam Phillips. He also produced artists at Hi Records. Like others such as Sonny Burgess, Hayden Thompson, Billy Lee Riley and Warren Smith, chart success largely eluded him. Born in Tupelo, Mississippi, Harris died in November 2003 in Mooreville, Mississippi, at the age of 76."
http://dbpedia.org/resource/Vincent_Montana_Jr.,Vincent Montana Jr.,,1928-02-12,2013-04-13,http://www.wikidata.org/entity/Q3559755,"Vincent Montana Jr. (February 12, 1928 – April 13, 2013), known as Vince Montana, was an American composer, arranger, vibraphonist, and percussionist. He is best known as a member of MFSB and as the founder of the Salsoul Orchestra. He has been called ""the Godfather of disco"".Montana was inducted into the Musicians Hall of Fame and Museum in 2016."
http://dbpedia.org/resource/Earl_Young_(drummer),Earl Young (drummer),http://commons.wikimedia.org/wiki/Special:FilePath/Earl_Young_2017.jpg?width=300,1940-06-02,,http://www.wikidata.org/entity/Q5326183,"Earl Donald Young (born June 2, 1940) is a Philadelphia-based drummer who rose to prominence in the early 1970s as part of the Philly Soul sound. Young is best known as the founder and leader of The Trammps who had a hit record with ""Disco Inferno"". Young, along with Ronnie Baker and Norman Harris (the trio best known as Baker-Harris-Young), was the owner of the Golden Fleece record label."
http://dbpedia.org/resource/Eddie_Kendricks,Eddie Kendricks,http://commons.wikimedia.org/wiki/Special:FilePath/Eddie_Kendricks_(1972).png?width=300,1939-12-17,1992-10-05,http://www.wikidata.org/entity/Q1282863,"Edward James Kendrick (December 17, 1939 – October 5, 1992), better known as Eddie Kendricks, was an American singer and songwriter. Noted for his distinctive falsetto singing style, Kendricks co-founded the Motown singing group the Temptations, and was one of their lead singers from 1960 until 1971. He was the lead voice on such famous songs as ""The Way You Do the Things You Do"", ""Get Ready"", and ""Just My Imagination (Running Away with Me)"". As a solo artist, Kendricks recorded several hits of his own during the 1970s, including the number-one single ""Keep On Truckin'""."
http://dbpedia.org/resource/Curtis_Mayfield,Curtis Mayfield,http://commons.wikimedia.org/wiki/Special:FilePath/Curtis_Mayfield.png?width=300,1942-06-03,1999-12-26,http://www.wikidata.org/entity/Q310170,"Curtis Lee Mayfield (June 3, 1942 – December 26, 1999) was an American singer-songwriter, guitarist, and record producer, and one of the most influential musicians behind soul and politically conscious African-American music. He first achieved success and recognition with the Rock and Roll Hall of Fame-inducted group The Impressions during the civil rights movement of the late 1950s and the 1960s, and later worked as a solo artist. Mayfield started his musical career in a gospel choir. Moving to the North Side of Chicago, he met Jerry Butler in 1956 at the age of 14, and joined the vocal group The Impressions. As a songwriter, Mayfield became noted as one of the first musicians to bring more prevalent themes of social awareness into soul music. In 1965, he wrote ""People Get Ready"" for the Impressions, which was ranked at no. 24 on Rolling Stone's list of the 500 Greatest Songs of All Time. The song received numerous other awards, and was included in the Rock and Roll Hall of Fame 500 Songs that Shaped Rock and Roll, as well as being inducted into the Grammy Hall of Fame in 1998. After leaving the Impressions in 1970 in the pursuit of a solo career, Mayfield released several albums, including the soundtrack for the blaxploitation film Super Fly in 1972. The soundtrack was noted for its socially conscious themes, mostly addressing problems surrounding inner city minorities such as crime, poverty and drug abuse. The album was ranked at no. 72 on Rolling Stone's list of 500 Greatest Albums of All Time. Mayfield was paralyzed from the neck down after lighting equipment fell on him during a live performance at Wingate Field in Flatbush, Brooklyn, New York, on 13 August 1990. Despite this, he continued his career as a recording artist, releasing his final album New World Order in 1996. Mayfield won a Grammy Legend Award in 1994 and a Grammy Lifetime Achievement Award in 1995. He is a double inductee into the Rock and Roll Hall of Fame, as a member of the Impressions in 1991, and again in 1999 as a solo artist. He was also a two-time Grammy Hall of Fame inductee. He died from complications of type 2 diabetes at the age of 57 on December 26, 1999."
http://dbpedia.org/resource/Bunny_Sigler,Bunny Sigler,,1941-03-27,2017-10-06,http://www.wikidata.org/entity/Q4997873,"Walter ""Bunny"" Sigler (March 27, 1941 – October 6, 2017) was an American R&B singer, songwriter, multi-instrumentalist and record producer who did extensive work with the team of Kenny Gamble and Leon Huff, and was instrumental in creating the ""Philly Sound"" in the early 1970s."
http://dbpedia.org/resource/Joe_Simon,Joe Simon,http://commons.wikimedia.org/wiki/Special:FilePath/JoeSimonatNYComicCon2006.jpg?width=300,1913-10-11,2011-12-14,http://www.wikidata.org/entity/Q725384,"Joseph Henry Simon (October 11, 1913 – December 14, 2011) was an American comic book writer, artist, editor, and publisher. Simon created or co-created many important characters in the 1930s–1940s Golden Age of Comic Books and served as the first editor of Timely Comics, the company that would evolve into Marvel Comics. With his partner, artist Jack Kirby, he co-created Captain America, one of comics' most enduring superheroes, and the team worked extensively on such features at DC Comics as the 1940s Sandman and Sandy the Golden Boy, and co-created the Newsboy Legion, the Boy Commandos, and Manhunter. Simon and Kirby creations for other comics publishers include Boys' Ranch, Fighting American and the Fly. In the late 1940s, the duo created the field of romance comics, and were among the earliest pioneers of horror comics. Simon, who went on to work in advertising and commercial art, also founded the satirical magazine Sick in 1960, remaining with it for over a decade. He briefly published with DC Comics in the 1970s. Simon was inducted into the Will Eisner Comic Book Hall of Fame in 1999."
http://dbpedia.org/resource/Major_Harris,Major Harris,,,,http://www.wikidata.org/entity/Q113006515,
http://dbpedia.org/resource/Loleatta_Holloway,Loleatta Holloway,http://commons.wikimedia.org/wiki/Special:FilePath/Loleatta_Holloway.jpg?width=300,1946-11-05,2011-03-21,http://www.wikidata.org/entity/Q236497,"Loleatta Holloway (/lɒlˈiːtə/, lo-LEE-tə; November 5, 1946 – March 21, 2011) was an American singer known for disco songs such as ""Hit and Run"" and ""Love Sensation"". In December 2016, Billboard named her the 95th most successful dance artist of all time. According to the Independent, Holloway is the most sampled female singer in popular music, used in house and dance tracks such as the 1989 single ""Ride on Time""."
http://dbpedia.org/resource/Eddie_Holman,Eddie Holman,,1946-06-03,,http://www.wikidata.org/entity/Q5336134,"Eddie Holman (born June 3, 1946) is an American singer, minister and recording artist, best known for his 1970 hit song ""Hey There Lonely Girl"". His specialties range from R&B and pop to gospel."
