before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Steven Paul Smith (August 6, 1969 – October 21, 2003), known professionally as Elliott Smith, was an American singer-songwriter and multi-instrumentalist."
,1,0,HT,"Smith was born in Omaha, Nebraska, raised primarily in Texas, and lived much of his life in Portland, Oregon, where he first gained popularity."
,2,0,N,
,3,0,N,
,0,1,HT,"After playing in the rock band Heatmiser for several years, Smith began his solo career in 1994, with releases on the independent record labels Cavity Search and Kill Rock Stars (KRS)."
,1,1,HT,"In 1997, he signed a contract with DreamWorks Records, for which he recorded two albums."
,2,1,HT,"Smith rose to mainstream prominence when his song ""Miss Misery""—included in the soundtrack for the film Good Will Hunting (1997)—was nominated for an Oscar in the Best Original Song category in 1998."
,3,1,N,
,4,1,N,
,5,1,HT,"In 2003, aged 34, he died in Los Angeles, California, from two stab wounds to the chest."
,6,1,N,
,7,1,HT,"At the time of his death, Smith was working on his sixth studio album, From a Basement on the Hill, which was posthumously produced and released in 2004."
,0,3,N,
,1,3,HT,"His parents divorced when he was six months old, and Smith moved with his mother to Duncanville, Texas."
,2,3,HT,"Smith later had a tattoo of a map of Texas drawn on his upper arm and said: ""I didn't get it because I like Texas, kind of the opposite."
,3,3,N,
,4,3,N,
,5,3,N,
,6,3,N,
,7,3,N,
,8,3,HT,"In a 2004 interview, Jennifer Chiba, Smith's partner at the time of his death, said that Smith's difficult childhood was partly why he needed to sedate himself with drugs as an adult: ""He was remembering traumatic things from his childhood – parts of things."
,9,3,N,
,10,3,N,
,11,3,N,
,12,3,HT,"In 2001, he said: ""I don't necessarily buy into any officially structured version of spirituality."
,13,3,N,
,14,3,N,
,15,3,N,
,16,3,N,
,0,4,HT,"At fourteen, Smith left his mother's home in Texas and moved to Portland, Oregon, to live with his father, who was then working as a psychiatrist."
,1,4,N,
,2,4,N,
,3,4,N,
,4,4,N,
,5,4,N,
,6,4,N,
,7,4,HT,"Biographer S. R. Shutt speculates that the name was either inspired by Elliott Avenue, a street that Smith had lived on in Portland, or that it was suggested by his then-girlfriend."
,8,4,N,
,0,7,HT,"In 1991 Smith graduated from Hampshire College in Amherst, Massachusetts with a degree in philosophy and political science."
,1,7,HT,"""Went straight through in four years"", he explained to Under the Radar in 2003."
,2,7,HT,"""I guess it proved to myself that I could do something I really didn't want to for four years."
,3,7,N,
,4,7,HT,"At the time it seemed like, 'This is your one and only chance to go to college and you had just better do it because some day you might wish that you did.'"
,5,7,HT,"Plus, the whole reason I applied in the first place was because of my girlfriend, and I had gotten accepted already even though we had broken up before the first day."""
,6,7,N,
,7,7,N,
,8,7,HT,"After Smith graduated from Hampshire, the band added drummer Tony Lash and bassist Brandt Peterson and began performing around Portland in 1992."
,9,7,N,
,10,7,N,
,11,7,N,
,12,7,N,
,13,7,N,
,14,7,N,
,15,7,N,
,16,7,N,
,0,9,HT,"In the early 1990s, Smith's girlfriend at the time convinced him to send a tape of songs he had recently recorded on a borrowed four-track to Cavity Search Records."
,1,9,N,
,2,9,HT,"The album became Smith's release, Roman Candle (1994)."
,3,9,N,
,4,9,N,
,5,9,N,
,6,9,HT,"""One of Smith's first solo performances was at the now-defunct Umbra Penumbra on September 17, 1994."
,7,9,N,
,8,9,HT,"The same year, Smith released a split 7-inch record with Pete Krebs via Slo-Mo Records, contributing the track ""No Confidence Man""."
,0,10,HT,=== 1995–1997: Elliott Smith and Either/
,1,10,N,
,0,11,HT,"In 1995, Smith's self-titled album was released on Kill Rock Stars; the record featured a style of recording similar to Roman Candle, but with hints of growth and experimentation."
,1,11,N,
,2,11,N,
,3,11,N,
,0,12,HT,"In 1996, filmmaker Jem Cohen recorded Smith playing acoustic songs for the short film Lucky Three: An Elliott Smith Portrait."
,1,12,N,
,2,12,N,
,3,12,N,
,4,12,N,
,5,12,N,
,6,12,N,
,7,12,HT,"At the end of the Either/Or tour, some of his close friends staged an intervention in Chicago, but it proved ineffective."
,8,12,HT,"Shortly after, Smith relocated from Portland to Jersey City, New Jersey, and later Brooklyn, New York."
,0,14,HT,"In 1997, Smith was selected by director and fellow Portland resident Gus Van Sant to be a part of the soundtrack to his film, Good Will Hunting."
,1,14,N,
,2,14,HT,"Smith also contributed a new song, ""Miss Misery"", and three previously released tracks (""No Name #3"", from Roman Candle, and ""Angeles"" and ""Say Yes"", from Either/Or)."
,3,14,N,
,4,14,N,
,5,14,HT,"On March 5, 1998, Smith made his network television debut on Late Night with Conan O'Brien performing ""Miss Misery"" solo on acoustic guitar."
,6,14,HT,"A few days later, wearing a white suit, he played an abridged version of the song at the Oscars, accompanied by the house orchestra."
,7,14,HT,"James Horner and Will Jennings won the award that night for best song with ""My Heart Will Go On"" (sung by Celine Dion) from the film Titanic."
,8,14,N,
,9,14,N,
,10,14,N,
,11,14,HT,"But the Oscars was a very strange show, where the set was only one song cut down to less than two minutes, and the audience was a lot of people who didn't come to hear me play."
,12,14,HT,"I wouldn't want to live in that world, but it was fun to walk around on the moon for a day."""
,0,16,HT,"In 1998, after the success of Either/Or and ""Miss Misery"", Smith signed to a bigger record label, DreamWorks Records."
,1,16,N,
,2,16,HT,"While in North Carolina, he became severely intoxicated and ran off a cliff."
,3,16,HT,"He landed on a tree, which badly impaled him but broke his fall."
,4,16,N,
,5,16,N,
,6,16,N,
,7,16,HT,"Pete Krebs also agreed: ""In Portland we got the brunt of Elliott's initial depression..."
,8,16,HT,"Lots of people have stories of their own experiences of staying up with Elliott 'til five in the morning, holding his hand, telling him not to kill himself."
,9,16,HT,"""Smith's first release for DreamWorks was later that year."
,10,16,HT,"Titled XO, it was conceived and developed while Smith wrote it out over the winter of 1997/1998, night after night seated at the bar in Luna Lounge."
,11,16,N,
,12,16,HT,XO also contained some instrumentation from Los Angeles musicians Joey Waronker and Jon Brion.
,13,16,HT,"It contained a more full-sounding, baroque pop sound than any of his previous efforts, with songs featuring a horn section, Chamberlins, elaborate string arrangements, and even a drum loop on the song ""Independence Day""."
,14,16,N,
,15,16,N,
,16,16,N,
,17,16,N,
,18,16,HT,"On October 17, 1998, Smith appeared on Saturday Night Live and performed ""Waltz No. 2 (XO)""."
,19,16,N,
,0,17,N,
,1,17,N,
,2,17,HT,It was during this period that Smith appeared on Dutch television in 1998 and provided a candid interview in which he spoke of his assessment of his music career until that point:
,0,19,N,
,1,19,N,
,0,20,HT,"Smith relocated from Brooklyn to Los Angeles in 1999, taking up residence at a cabin in the Silver Lake section of town, where he would regularly play intimate, acoustic shows at local venues like Silverlake Lounge."
,1,20,HT,He also performed in Toronto in April that year.
,2,20,HT,"In the fall, his cover of the Beatles' ""Because"" was featured in the end credits of DreamWorks' Oscar-winning drama American Beauty, and appeared on the film's soundtrack album."
,0,21,N,
,1,21,HT,"It featured the return of Rothrock, Schnapf, Brion, and Waronker and was partially recorded at Abbey Road Studios in England, with an obvious Beatles influence in the songwriting and production."
,2,21,N,
,3,21,N,
,4,21,N,
,5,21,N,
,6,21,N,
,7,21,N,
,0,23,N,
,1,23,N,
,2,23,N,
,3,23,HT,I've also been followed around for months at a time.
,4,23,N,
,5,23,N,
,6,23,HT,He would go without sleeping for several days and then sleep for an entire day.
,7,23,HT,"A follow-up to Smith's 2000 album was originally planned to happen with Rob Schnapf, but their sessions were abandoned."
,8,23,HT,"Smith also began distancing himself from manager Margaret Mittleman, who had handled him since the Roman Candle days."
,9,23,HT,He finally began recording a new album with only himself and Jon Brion as producers sometime during 2001.
,10,23,N,
,11,23,N,
,12,23,N,
,13,23,HT,"He was just helping me record the songs and stuff, and then the friendship kind of fell apart all of a sudden one day."
,14,23,N,
,15,23,N,
,16,23,N,
,17,23,N,
,18,23,HT,"In May 2001, Smith set out to re-record the album, mostly on his own, but with some help from David McConnell of Goldenboy."
,19,23,HT,"McConnell told Spin that, during this time, Smith would smoke over $1,500 worth of heroin and crack per day, would often talk about suicide, and on numerous occasions tried to give himself an overdose."
,20,23,N,
,21,23,HT,"Smith's song ""Needle in the Hay"" was included in Wes Anderson's 2001 dark comedy film The Royal Tenenbaums during a suicide attempt scene."
,22,23,N,
,23,23,N,
,24,23,HT,"Smith's live performances during 2001 and 2002 were infrequent, typically in the Pacific Northwest or Los Angeles."
,25,23,HT,"A review of his December 20, 2001, show at Portland's Crystal Ballroom expressed concern over his appearance and performance: his hair was uncharacteristically greasy and long, his face was bearded and gaunt, and during his songs he exhibited alarming signs of ""memory-loss and butterfingers""."
,26,23,HT,"At another performance in San Francisco that month, the audience began shouting out lyrics when Smith could not remember them."
,27,23,HT,"In the first of only three concerts performed in 2002, Smith co-headlined Northwestern University's A&O Ball with Wilco on May 2 in Chicago."
