before,after,paragraphIndex,annotation,sentences
,0,0,HT,"John Law is a British jazz pianist and composer, born in London to British and Austrian parents."
,0,2,N,
,1,2,HT,"With early encouragement from the Austrian concert pianist Alfred Brendel he was awarded a scholarship to study piano and composition at the Royal Academy of Music where he studied from 1979–1983, winning prizes for piano playing."
,2,2,HT,"After being awarded an Austrian government scholarship to study with the Viennese pianist Paul Badura-Skoda he studied for a year in Vienna at the Hochschule für Musik und darstellende Kunst, Wien."
,3,2,N,
,0,3,N,
,1,3,N,
,2,3,HT,"In 1990 he began a long-term musical relationship with the saxophonist and composer Jon Lloyd, recording with Lloyd's quartet his first CD, Syzygy, for the Leo Records label."
,3,3,HT,More recently Law appeared on Jon Lloyd's Vanishing Points (2013).
,4,3,N,
,5,3,N,
,0,4,HT,After 2005 Law was most widely known for his project The Art of Sound.
,1,4,N,
,2,4,N,
,3,4,N,
,4,4,N,
,5,4,N,
,6,4,N,
,7,4,N,
,8,4,N,
,9,4,N,
,10,4,N,
,11,4,N,
,12,4,N,
,13,4,HT,During 2002/3 he performed in a two piano project with the UK pianist Jason Rebello.
,0,5,HT,"In 2001 Law's recording Abacus, featuring the American drummer Gerry Hemingway was awarded a prize, a Choc, as one of the best CDs of the year, by the French jazz magazine Jazzman."
,1,5,HT,"In 2005 Law was awarded a distinction at classical piano diploma level, gaining dipABRSM."
,0,6,N,
,1,6,HT,"At the Purcell Room in London, John Fordham described Out of the Darkness as ""an ambitious piece combining rich and slowly transforming (sometimes rather Mike Gibbs-like) harmonic movements, sudden clustered ensemble sprints, and systems-music overlays of phrasing deploying bassoon, brass and strings lines against the jazz instruments..."
,2,6,N,
,3,6,N,
,4,6,HT,"Law has also performed classical music projects, mainly the solo piano and visuals Goldberg, where he played J.S. Bach's Goldberg Variations (on the modern grand piano) with live accompanying visuals by graphic artist David Daniels, adapted live to the music by Patrick Dunn; also his two piano project Sacre, with fellow pianist David Gordon, where they played a selection of Stravinsky's Rite of Spring with original jazz re-interpretations of some of the key movements interpolated in-between the Stravinsky."
,0,7,N,
,0,10,HT,"Syzygy (Jon Lloyd Quartet, 1992),"
,0,11,HT,"Exploded on Impact (John Law Quartet, 1993)"
,0,12,HT,"Head (Jon Lloyd Quartet, 1993)"
,0,13,HT,"Talitha Cumi (John Law solo piano, 1994)"
,0,14,HT,"The Boat is Sinking, Apartheid is Sinking (John Law, Louis Moholo Duo, 1994)"
,0,15,HT,"Pentecost (John Law solo piano, 1996)"
,0,16,HT,"The Onliest (John Law Trio, 1996)"
,0,17,HT,"Giant Leaves (John Law Trio, 1996)"
,0,18,HT,"By Confusion (Jon Lloyd Quartet, 1997)"
,0,19,HT,"The Hours (John Law solo piano, 1997)"
,0,20,HT,Songs Without Words (John Law Trio 1998)
,0,21,HT,"Strange Stories (John Law Trio, 2000)"
,0,22,HT,"Thanatos (John Law solo piano, 2000)"
,0,23,HT,"Abacus (John Law Quartet featuring Jon Lloyd, Gerry Hemingway, 2001)"
,0,24,HT,"The Moment (John Law Trio/Quartet featuring Tim Garland, 2001)"
,0,25,HT,"Monk 'n' Junk (John Law Trio/Quartet featuring Julian Siegel, 2002)"
,0,26,HT,"Out of the Darkness (Cornucopia Ensemble featuring Andy Sheppard, 2004)"
,0,27,HT,"Mimesis (Jon Lloyd/John Law Duo, 2006)"
,0,28,HT,"The Art of Sound Volume 1 (John Law/Sam Burgess/Asaf Sirkis, 2007)"
,0,29,HT,"The Ghost in the Oak, The Art of Sound Volume 2 (John Law solo piano, 2008)"
,0,30,HT,"Chorale, The Art of Sound Volume 3 (John Law solo piano, 2008)"
,0,31,HT,"Congregation, The Art of Sound Volume 4 (John Law/Sam Burgess/Asaf Sirkis, 2009)"
,0,32,HT,"The Journey Home (Nick Sorensen/John Law Duo, 2010)"
,0,33,HT,"This Is (John Law, Mark Pringle duo, 2011)"
,0,34,HT,"Three Leaps of the Gazelle (John Law/Yuri Goloubev/Asaf Sirkis, 2012)"
,0,36,N,
,1,36,HT,"(John Law featuring Jon Lloyd, Rob Palmer and Laurie Lowe, 2014)"
,0,37,HT,"These Skies In Which We Rust (John Law's New Congregation featuring Josh Arcoleo, Yuri Goloubev and Laurie Lowe, 2014)"
,0,38,HT,"Goldberg (John Law, 2014)"
,0,39,HT,"Re-Creations Volume 1 (John Law Quartet featuring Sam Crockatt, James Agg, Billy Weir, 2017)"
,0,40,HT,"Re-Creations Volume 2 (John Law solo piano, 2019)"
,0,41,HT,"Re-Creations Volume 3 (John Law Quartet featuring Sam Crockatt, James Agg, Billy Weir, 2019)"
,0,42,HT,"CONFIGURATION (John Law's Congregation, featuring James Mainwaring, Ashley John Long, Billy Weir, 2020)"
