before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Musaeus of Athens (Greek: Μουσαῖος, Mousaios) was a legendary polymath, philosopher, historian, prophet, seer, priest, poet, and musician, said to have been the founder of priestly poetry in Attica."
,1,0,N,
,0,2,HT,"Herodotus reports that, during the reign of Peisistratus at Athens, the scholar Onomacritus collected and arranged the oracles of Musaeus but inserted forgeries of his own devising, later detected by Lasus of Hermione."
,1,2,HT,"The mystic and oracular verses and customs of Attica, especially of Eleusis, are connected with his name."
,2,2,N,
,0,4,HT,"In 450 BC, the playwright Euripides in his play Rhesus describes him thus: ""Musaeus, too, thy holy citizen, of all men most advanced in lore."""
,1,4,HT,"In 380 BC, Plato says in his  Ion that poets are inspired by Orpheus and Musaeus but the greater are inspired by Homer."
,2,4,N,
,3,4,N,
,4,4,HT,"Nay, if this be true, let me die again and again."""
,5,4,N,
,6,4,HT,"Alexander Polyhistor, Clement of Alexandria and  Eusebius say he was the teacher of Orpheus."
,7,4,N,
,8,4,HT,"According to Diogenes Laërtius he died and was buried at Phalerum, with the epitaph: ""Musaeus, to his sire Eumolpus dear, in Phalerean soil lies buried here."""
,9,4,HT,"According to Pausanias, he was buried on the Mouseion Hill, south-west of the Acropolis, where there was a statue dedicated to a Syrian."
,10,4,HT,"For this and other reasons, Artapanus of Alexandria, Alexander Polyhistor, Numenius of Apamea, and Eusebius identify Musaeus with Moses the Jewish lawbringer."
,11,4,N,
