before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Jan Lisiecki (pronounced [ˈjɑːn ˌlɪ'ʃɜtskɪ]; born March 23, 1995) is a Canadian-born classical pianist of Polish ancestry."
,1,0,HT,"Lisiecki performs over a hundred concerts annually and has worked closely with the world's leading orchestras and conductors, his career at the top of the international concert scene spanning over a decade."
,2,0,N,
,0,2,HT,"Lisiecki was born in Calgary, Alberta, Canada and began piano lessons at the age of five, making his orchestral debut at the age of nine."
,0,3,HT,"At thirteen, Lisiecki was invited to the 2008 edition of the ""Chopin and his Europe"" festival in Warsaw, Poland to perform Chopin Piano Concerto No. 2, Op."
,1,3,N,
,2,3,N,
,3,3,HT,"Instantly hailed as the sensation of the festival, he returned in 2009 to perform Chopin Piano Concerto No. 1, Op."
,4,3,HT,11 in the same constellation.
,5,3,HT,"He was brought to international attention the following year when the Fryderyk Chopin Institute released the two performances, marking Lisiecki's album debut."
,6,3,N,
,7,3,HT,"Following the Chopin release, Deutsche Grammophon signed an exclusive contract with Jan Lisiecki that same year, when he was 15 years old."
,0,4,HM,"As part of the Canada Day celebrations 2011, Lisiecki performed for Queen Elizabeth II and an audience of 100,000 people on Parliament Hill in Ottawa, Ontario, Canada."
,1,4,HT,"Lisiecki was accelerated four grades upon the school board's recommendation and graduated from Western Canada High School in Calgary, Alberta, Canada in January 2011."
,2,4,N,
,0,6,HT,"Lisiecki's first recording for Deutsche Grammophon, released in April 2012, features Mozart's Piano Concertos K 466, No. 20, in D minor and K 467, No. 21, in C Major with the Bavarian Radio Symphony Orchestra and Christian Zacharias and was nominated for 2013 Juno Award in the category Classical Album of the Year."
,1,6,HT,It was followed in spring 2013 by Chopin's Études Op.
,2,6,N,
,0,7,HT,"In March 2013, Lisiecki substituted at short notice for Martha Argerich, performing Beethoven's Piano Concerto No. 4, Op."
,1,7,HT,58 in Bologna with the Orchestra Mozart under Claudio Abbado.
,2,7,N,
,3,7,N,
,4,7,HM,"The following year, Lisiecki made his debuts as soloist with world-class orchestras such as the Orchestra Filarmonica della Scala in Milan, Tonhalle Orchester Zurich, NHK Symphony Orchestra in Tokyo, and the Deutsches Symphonie-Orchester Berlin and performed three Mozart concertos in a week with the Philadelphia Orchestra."
,5,7,HT,"The same season saw him perform recital debuts at Wigmore Hall, Rome's Accademia Nazionale di Santa Cecilia, and in San Francisco."
,6,7,HT,"In January 2016, Lisiecki played his debut in the Stern auditorium of New York's famed Carnegie Hall at the age of 20, with what the New York Times called an ""uncommonly sensitive performance""."
,7,7,HT,"The same month, Deutsche Grammophon released Lisiecki's recording of Schumann's works for piano and orchestra with Orchestra dell'Accademia Nazionale di Santa Cecilia and Antonio Pappano."
,8,7,HT,"ClassicFM wrote, ""he may be young but Jan Lisiecki plays Schumann like a legend""."
,9,7,HT,"Shortly after, he made subscription series debuts with the Cleveland Orchestra, Boston, Pittsburgh and San Francisco Symphony, London Philharmonic Orchestra, Vienna Symphony and Staatskapelle Dresden."
