before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Mathew William Kearney (; born December 1, 1978) is an American musician born in Eugene, Oregon, and based in Nashville, Tennessee."
,1,0,N,
,0,4,HT,"Kearney was born on December 1, 1978 and raised in Eugene, Oregon, with his two brothers."
,1,4,N,
,2,4,HT,"He attended California State University, Chico in Chico, California, on an athletic scholarship and majored in literature, playing soccer until his junior year."
,3,4,HT,Kearney first became interested in music after traveling to Nashville with music producer Robert Marvin.
,4,4,N,
,5,4,HT,"Though things were going well for Kearney at school, the partying atmosphere at Chico caught up to him."
,6,4,N,
,7,4,N,
,8,4,N,
,9,4,N,
,10,4,N,
,11,4,N,
,12,4,N,
,13,4,HT,"The two began to make music together, but Marvin had plans to move to Nashville, Tennessee."
,14,4,N,
,15,4,N,
,16,4,N,
,17,4,N,
,18,4,HM,"Kearney decided to stay in Nashville to record a few demos with Marvin and after a few months, Kearney had no plans on returning."
,19,4,HT,"""By the end of the summer, we had three or four songs and I realized this is what I wanted to do."
,20,4,N,
,21,4,HT,"So I called home to Oregon and said, 'I'm not coming back' and I never left Nashville."""
,0,6,HT,"On April 18, 2006, Kearney's second album and major-label debut, titled Nothing Left to Lose, was released."
,1,6,N,
,2,6,HT,"The title track ""Nothing Left to Lose"" was the first single from the album, peaking at No. 41 on the Billboard Hot 100 for the week of February 10, 2007."
,3,6,N,
,4,6,N,
,5,6,N,
,6,6,HT,"To promote Nothing Left to Lose, Kearney toured with John Mayer, Sheryl Crow, Train, Mutemath, Meiko, and Cary Brothers throughout 2005, '06, and '07; he also headlined VH1's first ever ""You Oughta Know Tour"" in early 2007."
,0,7,HT,"Kearney's following album, City of Black & White, was released through Columbia Records on May 19, 2009."
,1,7,N,
,2,7,N,
,3,7,N,
,4,7,N,
,0,8,HT,"In May 2009, Kearney toured with Keane and The Helio Sequence for several weeks to promote City of Black & White."
,1,8,N,
,2,8,N,
,0,9,N,
,1,9,N,
,2,9,N,
,3,9,N,
,4,9,N,
,5,9,N,
,6,9,N,
,7,9,HT,"From August 17, 2016 through November 12, 2016, Kearney toured with Needtobreathe for their second annual Tour de Compadres, where he performed songs from his albums Nothing Left to Lose, Young Love, and Just Kids."
,8,9,HT,"On December 13, 2016, Kearney signed with independent music company Big Loud Mountain Management."
,9,9,HT,"On February 3, 2017, Kearney released a song with Filous, titled ""Goodbye""."
,10,9,HT,"Kearney released a self-titled EP on December 22, 2017, previewing new tracks from his forthcoming album, Crazy Talk."
,11,9,HT,"Mat Kearney released his sixth album, Crazytalk, May 4, 2018 to average reviews."
,12,9,HT,Kearney did a two-month long Crazytalk tour starting the third week of February 2018.
,13,9,N,
,14,9,HT,"To celebrate the ten year anniversary of his second album, The City of Black and White, Kearney released The City of Black and White Revisited EP in June 2019."
,15,9,N,
,0,11,N,
,0,12,HT,"Chad Kinner – drums, percussion (2011–present)"
,0,13,N,
,0,14,HT,Adam Keafer – bass (2010–2015)
,0,15,HT,Nathan Spicer – guitar (2010–present)
,0,16,HT,"Tyler Burkum – guitar, vocals (2009–present)"
,0,17,HT,Phil Moore – bass (2015–present)
,0,18,HT,M.D. Miller – bass (2005–2009)
,0,19,HT,Jeremy Lutito – drums (2009–2012)
,0,20,HT,Aaron Farmer – keys (2016)
,0,22,N,
,1,22,N,
,2,22,N,
,3,22,N,
,4,22,N,
,0,24,HM,"Kearney currently resides in Nashville, Tennessee with his wife Annie, whom he married in 2010."
0.0,1,24,HM,"Kearney currently resides in Nashville, Tennessee with his wife Annie, whom he married in 2010. Mat's niece, Michaela Kearney, also lives in Nashville and has worked as music supervisor on several network shows like AFV, Jeopardy, and The Great British Bakeoff."
,2,24,N,
,3,24,N,
,4,24,N,
,5,24,HT,"On January 4, 2017, Kearney and his wife had their first child, a girl named Olive Sims Kearney."
,6,24,HT,"Their second daughter was born on March 25, 2020, and named Violet River Kearney."
,0,30,HT,"Mat Kearney: Live at The Fillmore, San Francisco (2010)"
,0,36,HT,"Kearney's songs have appeared on the following television series: 30 Rock, Awake, Dirty Sexy Money, Kyle XY, The Unit, Without a Trace, Laguna Beach, The Hills, Bones, Jericho, Friday Night Lights, Wildfire, What About Brian, South Beach, 8th & Ocean, One Tree Hill, Scrubs, The Closer, NCIS, Life Unexpected, Grey's Anatomy, Parenthood, So You Think You Can Dance, The Vampire Diaries and A to Z. His song ""Runaway"" is featured on the Soul Surfer movie soundtrack."
,1,36,HT,"Kearney's song ""Sooner or Later"" provides the background music to the WWDC 2013 and Google's Zeitgeist 2011:"
,2,36,HT,"Year in Review video, which was uploaded to YouTube on December 14, 2011."
,3,36,HT,"He was also on The Today Show performing the song ""Billion""."
,4,36,HT,"In an interview with Entertainment Weekly, Ricky Gervais included Kearney on his ""Must List"", stating ""This singer-songwriter does spoken word that sounds like French hip-hop."""
