before,after,paragraphIndex,annotation,sentences
,0,0,HM,"Paul Taylor (born June 4, 1960 in San Francisco, California), formerly credited as Paul Horowitz, is an American musician, who is best known as the keyboardist/guitarist with the late 1980s and early 1990s rock band, Winger (1987–1992, 2001–2003, 2013–2014, 2014–2017, 2018–present)."
,1,0,HM,"Although he is perhaps most frequently associated with Winger, Taylor has also played with numerous other prominent musicians, including future Sammy Hagar and Boston guitarist Gary Pihl (in his early days), Eric Martin (solo artist and future Mr. Big frontman), Aldo Nova, Steve Perry of Journey, Alice Cooper and Tommy Shaw."
,0,1,HT,"In the late 70's Paul briefly played in a Northern California band called Stark Raving Mad (Paul on lead guitar, Piano and Vocals, with Donovan Stark, Gary Pihl (later on with Sammy Hagar and Boston), Jay Causbrook, and David Payne, with Eric Martin (of Mr. Big)."
,1,1,HT,"Taylor experienced his first mainstream success in the early 1980s as the touring keyboardist in Canadian musician Aldo Nova's backing band, and he appears in the music video for Nova's biggest hit, ""Fantasy."""
,0,2,HT,"Prior to forming Winger, Taylor and Kip Winger were both playing with Alice Cooper's backing band on the tours for Cooper's mid-80s albums, Constrictor (1986) and Raise Your Fist and Yell (1987)."
,1,2,N,
,2,2,N,
,3,2,HT,"However, in the midst of touring Europe, Paul received a call from Kip, who had been working with future Winger lead guitarist Reb Beach recording more demos in New York, informing him that he had gotten a record deal."
,4,2,N,
,0,3,N,
,1,3,HT,"However, after the tour supporting the latter album ended in 1991, Taylor left the band in early 1992, citing exhaustion and a desire to write and get involved with other projects."
,0,4,HT,"Throughout the 1990s, Taylor immersed himself in numerous other projects, perhaps the most prolific of which was recording and touring with Steve Perry for his 1994 solo album."
,1,4,HT,"In 1998, he returned to the Alice Cooper band (this time, alongside fellow former Winger guitarist Reb Beach), and once that tour ended, he embarked on a brief tour with Tommy Shaw."
,0,5,N,
,1,5,N,
,0,6,HT,"Though Paul was asked by Kip Winger to rejoin the band again to work on their 2006 reunion album, he declined because he was already involved with other projects."
,1,6,N,
,2,6,HT,He also spent the summer months of 2012 touring with Cinderella throughout the U.S. playing keyboards for them.
,3,6,HT,He returned to Winger during mid-2013 and performed with them on select tour dates up through early 2014 and appeared in the Queen Babylon released in late 2014.
,0,8,N,
,1,8,N,
,0,14,N,
,1,14,N,
,0,17,HT,Bryan Ferry - Frantic (2002)
