before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Ralph Carney (January 23, 1956 – December 17, 2017) was an American multi-instrumentalist, singer and composer."
,1,0,N,
,2,0,N,
,0,2,HT,"Carney grew up in Akron, Ohio, and listened to music on a windup record player."
,1,2,N,
,2,2,HT,"His father, William Carney, worked in polyester research for Goodyear Tire & Rubber Co., headquartered in Akron."
,3,2,N,
,4,2,N,
,5,2,N,
,6,2,N,
,7,2,N,
,0,4,N,
,1,4,HT,"In addition to work with Tin Huey in the 1970s and Tom Waits from the 1980s onwards, Carney also recorded or performed with Dieselhed, Marc Ribot, The B-52's, Elvis Costello, Jonathan Richman, Les Claypool, Stan Ridgway, Medeski Martin & Wood, Jed Davis,  Bill Laswell, and HowellDevine, among others."
,2,4,HT,"In 1981, Carney was one of the lead members of The Swollen Monkeys, along with Mars Williams later of the Psychedelic Furs : the group released an album that year ""Afterbirth of the cool"" produced by Hal Willner."
,3,4,N,
,4,4,HT,"He also headed up San Francisco's Carneyball Johnson, playing on saxophones, Turkish clarinet, piccolo, trumpet, percussion and vocals."
,0,5,N,
,1,5,N,
,2,5,HT,"In 2014, he collaborated with his nephew Patrick for the BoJack Horseman theme song."
,3,5,HT,He toured with They Might Be Giants in the fall of 2009.
,4,5,HT,"He recorded and performed with Black Francis in 2008 a score for the Silent film Der Golem, he guested with Yo La Tengo and Medeski Martin & Wood for live shows in 2010 and 2011."
,5,5,N,
,6,5,HT,"He performed on many Hal Willner-produced shows at UCLA's Royce Hall including a Tribute to Harry Smith in 2001, with a huge number of performers including Todd Rundgren, Phillip Glass, and David Johanson."
,0,6,N,
,1,6,N,
,2,6,N,
,3,6,HT,In 1994 Ralph performed on the Kathy Acker record Redoing Childhood (Paris Records).
,4,6,HT,He did some songs for some flash Web Premiere Toons cartoons on CartoonNetwork.com in 2001.
,5,6,HT,His old band Tin Huey put out a compilation CD of unreleased material in 2009 on Smog Veil Records.
,6,6,HT,He did a collaboration  with David Greenberger who puts out the Duplex Planet called Oh Pa that came out in late 2011.
,7,6,HT,After 2009 he recorded and played gigs with his Ralph Carney's Serious Jass Project.
,8,6,N,
,0,8,N,
,1,8,N,
,2,8,N,
,3,8,N,
,0,9,HT,"Carney died on December 17, 2017, at the age of 61, from head injuries sustained falling down steps in his home in Portland, Oregon, the previous day."
,1,9,N,
,0,16,N,
,1,16,HT,Ralph Carney (2003)
,0,17,HT,Ralph Carney's Serious Jass Project (2009)
,0,18,HT,"OH, PA (spoken word album with David Greenberger) (2011)"
,0,21,HT,Songs for Unsung Holidays (with Chris Butler) (2018)
