before,after,paragraphIndex,annotation,sentences
,0,0,N,
,0,2,HT,Nelson began her career acting with the theater group Mabou Mines at the Public Theater in New York and she went on to perform in Shakespeare In The Park.
,0,3,HT,"Nelson began her directing career with the award-winning short film To the Moon, Alice (1990), which she also wrote."
,1,3,HT,The film starred Chris Cooper and was part of a television program for Showtime titled The Showtime 30-Minute Movie.
,2,3,HT,"Her first feature film was Corrina, Corrina (1994) which she wrote, directed, and produced."
,3,3,N,
,4,3,N,
,5,3,HT,"She went on to write, direct, and produce I Am Sam (2001) starring Sean Penn."
,6,3,HT,She received the first Stanley Kramer Award from the Producers Guild for I Am Sam in 2002.
,0,4,HT,"Her most recent film is Love the Coopers (2015), starring a large ensemble cast, including Diane Keaton, John Goodman, and Alan Arkin."
,0,5,N,
,1,5,HT,In 2014 she produced Danny Collins which starred Al Pacino and Annette Bening.
,0,6,HT,"She wrote the Broadway musical adaptation of the movie Waitress with music and lyrics by Sara Bareilles, directed by Diane Paulus, which premiered on Broadway in April 2016."
,1,6,HT,"She co-wrote and directed the musical Alice by Heart with Steven Sater and music by Duncan Sheik, which opened Off-Broadway in February 2019."
,2,6,HT,"Nelson co-authored the 2011 children's book Labracadabra (Penguin, 2011, ISBN 0670012513) with Karen Leigh Hopkins."
,0,8,N,
,1,8,N,
,2,8,N,
