before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Jerry McCain, often billed as Jerry ""Boogie"" McCain (June 18, 1930 – March 28, 2012), was an American electric blues musician, best known as a harmonica player."
,0,2,HT,"Born near Gadsden, Alabama, United States, he was one of five children of a poor family."
,1,2,N,
,2,2,N,
,0,3,HM,"McCain was a fan of the music of Little Walter and met the artist when, in 1953, he traveled to Gadsden for a show."
,1,3,HT,"McCain's recording debut came via Trumpet Records the same year under the name ""Boogie McCain"", with his brother Walter on drums."
,2,3,HT,"The two tracks were  ""East of the Sun"" and ""Wine-O-Wine""."
,3,3,N,
,4,3,HT,"During his years with the Excello (1955–57) he developed his amplified harmonica style, and unusual blues lyrics."
,5,3,N,
,6,3,N,
,7,3,HT,"McCain also released singles and albums for Columbia, under their Okeh Records label (1962), and for the Shreveport-based Jewel (1965–68) record label."
,8,3,HT,"The complete collection of his Jewel label records are available on a compilation album and, in recent years, several of his early recordings have been released on ""retrospective"" and compilation CDs, including the Verose Vintage album, Good Stuff."
,9,3,HT,"His longest partner, Ichiban Records, also released several retrospectives in the 1990s, including ICH1516-2: Jerry McCain."
,0,4,HT,"In 1989, after a period spent performing and touring with lesser known bands, McCain signed with Ichiban Records, and released the albums: Blues and Stuff, Struttin' My Stuff, and Love Desperado."
,1,4,N,
,0,6,HT,"In 2002, Ichiban released an album called American Roots: Blues featuring McCain."
,1,6,N,
,2,6,N,
,0,7,HT,The City of Gadsden honored McCain by including his own day at their annual Riverfest Event; a four-day music event.
,1,7,N,
,2,7,HT,"A commemorative CD, featuring some of McCain's music, was compiled for sale at the 1997 Riverfest Event."
,3,7,HT,"In 1996, McCain was selected by the Etowah Youth Orchestras as the most well-known musician from Gadsden."
3.0,4,7,HM,"In 1996, McCain was selected by the Etowah Youth Orchestras as the most well-known musician from Gadsden. The EYO commissioned the composer Julius Williams to write a work for solo harmonica and orchestra, to be performed by McCain and the Etowah Youth Symphony Orchestra, as a part of the City of Gadsden's Sesquicentennial Celebration."
,5,7,N,
,6,7,N,
,7,7,HM,"The ""Concerto"" was subsequently performed in Alice Tully Hall, at the Lincoln Center for the Performing Arts in New York City in June 1997, with McCain, the EYSO, and Julius Williams conducting."
,0,10,N,
,1,10,N,
,0,11,N,
,1,11,N,
,0,13,N,
,1,13,N,
,2,13,N,
,0,15,N,
,1,15,N,
,0,17,N,
,1,17,N,
,0,20,N,
,1,20,N,
,0,22,N,
,1,22,HT,Jerry 'Boogie' McCain and Others - Strange Kind of Feelin' (Alligator) 1950s recordings
,0,30,N,
,1,30,N,
,0,32,HT,2000 : Somebody's Been Talking: The Complete Jewel Singles 1965-72 (Westside WESM 625)
,0,33,N,
,1,33,N,
,0,34,N,
,0,35,HT,2000 : Southern Harp Attack with Frank Frost (P-Vine PCD-24047) Japan
,0,37,N,
,1,37,HT,Absolutely The Best:Complete Jewel Singles 1965-1972 (Varèse Sarabande/Fuel2000 302061098-2)
