before,after,paragraphIndex,annotation,sentences
,0,0,HT,Theo David Hutchcraft (born 30 August 1986) is an English singer and songwriter.
,1,0,N,
,0,2,HT,"Theo David Hutchcraft was born on 30 August 1986 in Richmond, North Yorkshire."
,0,5,HM,Hutchcraft met Adam Anderson and Scott Forster in Manchester in 2004.
,1,5,HT,"Over the next few months they exchanged music and lyrics via e-mail, before forming Bureau in March 2006, along with Flick Ward and Jamie Alsop."
,2,5,N,
,3,5,N,
,4,5,HT,"In 2007, Bureau disbanded, and soon after Hutchcraft and Anderson formed the band Daggers."
,5,5,N,
,6,5,HM,"Throughout 2008, Daggers continued to build a following, and began working with successful producers Biff Stannard and Richard X, but after a disastrous A&R showcase in London in September, Hutchcraft and Anderson returned to Manchester to reflect on the band's future."
,7,5,N,
,0,6,N,
,1,6,N,
,0,8,HT,"Now called Hurts, Hutchcraft and Anderson recorded an amateur music video for a song called ""Wonderful Life"" with a female dancer who had responded to an advert in a shop window."
,1,8,HT,"After they uploaded the video to their YouTube channel in April 2009, it quickly went viral."
,2,8,HT,They were signed to RCA imprint Major Label in July.
,3,8,N,
,0,9,HT,"Hurts finished fourth on the BBC's Sound of 2010 poll, and Zane Lowe premiered new song ""Blood, Tears & Gold"" as his ""Hottest Record in the World"" soon after."
,1,9,N,
1.0,2,9,HM,"Hurts performed their first gig on 22 January at the Michalsky Stylenite in Berlin, followed by a gig on 22 February at St Phillips Church in Salford, where they performed eight songs. This was quickly followed by gigs at Wiltons Music Hall, London, and in Berlin and Cologne in Germany."
,0,10,N,
,1,10,HT,"Also in June, it was announced that Kylie Minogue was recording with the band."
,2,10,N,
,3,10,HT,"Hurts recorded a performance of Kylie's 1994 hit ""Confide in Me"" for newspaper The Sun's website, and has since been a regular inclusion on their gig setlists."
,4,10,N,
,0,11,N,
,1,11,N,
,2,11,N,
,3,11,N,
,0,20,HT,By Your Side by Calvin Harris and Tom Grennan (2021)
