before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Roberto Martin Fernandez Nievera (; born November 30, 1986) is a Filipino singer-songwriter and record producer."
,1,0,N,
,0,1,HT,"The eldest child of singers Martin Nievera and Pops Fernandez, he began his own professional career as a VJ after winning Myx VJ Search 2010."
,1,1,N,
,2,1,N,
,0,2,N,
,1,2,N,
,2,2,N,
,3,2,N,
,4,2,N,
,5,2,N,
,0,5,HT,"Roberto Martin Fernandez Nievera was born on November 30, 1986 to singers Martin Nievera and Pops Fernandez."
,1,5,N,
,2,5,N,
,3,5,N,
,4,5,HT,"He began singing and playing in church when he was around fourteen years old, although he had been trying to deviate from music."
,5,5,N,
,6,5,N,
,7,5,N,
,8,5,N,
,9,5,N,
,10,5,N,
,11,5,N,
,12,5,HT,"""Nievera began writing the songs for his debut album in 2008."
,13,5,HT,"He contributed one of these songs, ""Smile"", to Regine Velasquez's 2010 album, Fantasy."
,14,5,HT,"While studying music production at De La Salle-College of Saint Benilde and serving as the vocalist and guitarist of an indie rock band called Wagyu, Nievera won Myx VJ Search 2010 by the music channel Myx."
,15,5,N,
,16,5,N,
,17,5,N,
,18,5,N,
,19,5,N,
,20,5,N,
,21,5,HT,"Now, I'm busy, with a purpose."""
,0,7,HT,"Nievera signed with PolyEast Records and launched Overwait on March 14, 2012."
,1,7,N,
,2,7,N,
,3,7,N,
,4,7,N,
,5,7,N,
,6,7,N,
,7,7,N,
,8,7,N,
,9,7,HT,"Nievera performed songs from Overwait as he opened for the American pop rock band Hanson on its Shout It Out World Tour in Manila on March 30, 2012."
,10,7,N,
,11,7,N,
,12,7,N,
,13,7,HT,"He has stated that he would rather choose to become a producer in the long run: ""My mom and dad have been singing for thirty years and counting."
,14,7,HT,"I don't see myself singing for the next 30 years."""
,15,7,HT,"In September 2012, Nievera won New Male Recording Artist of the Year for Overwait at the 4th PMPC Star Awards for Music."
,16,7,HT,"Nievera self-released Nightmares, his second album which he solely composed and produced, for free download from his website in December 2012."
,17,7,HT,"In March 2013, Nievera embarked on his first solo show called The Nightmares Concert, based on the Nightmares album."
,18,7,HT,"It was held at Teatrino Greenhills in San Juan, Metro Manila, and also featured songs from Overwait and performances by The John Sung Band and The Walkie Talkies whose members were Nievera's classmates in college."
,19,7,N,
,20,7,N,
,21,7,N,
,22,7,N,
,23,7,HT,"Nievera had recently signed with Viva Artists Agency, which he said ""helped with rehearsals"" for the show."
,24,7,N,
,25,7,N,
,26,7,HT,"At Myx Music Awards 2013, he was nominated for Favorite New Artist."
,27,7,HT,Nievera was named Promising Male Singer / Performer of the Year at the 44th Box Office Entertainment Awards in May 2013.
,28,7,HT,"In January 2014, Nievera said that he was planning ""to do a lot of things, music-oriented, Internet-oriented, and out of music-oriented."""
,29,7,HT,"He announced that his contract with PolyEast would expire at the end of the month, and he was ""starting a new band but it's going to be an independent release."""
,30,7,N,
,31,7,N,
,32,7,HT,"Nievera had been conceptualizing a third album with his new band, which he was intending to release online for free download by June 2014."
,33,7,HT,He was also reported to perform weekly at a newly opened music bar on Pioneer Street in Mandaluyong.
,34,7,N,
,35,7,HT,"In February 2015, Nievera mentioned that he was developing his own web series featuring emerging musicians which was to be released on YouTube."
,36,7,HM,"He mounted a concert, The Next Attraction, at the Music Museum in San Juan, Metro Manila in July 2015, with Isabella Gonzalez, Paolo Valenciano, and Karylle (children of his parents' contemporaries, Kuh Ledesma, Gary Valenciano, and Zsa Zsa Padilla, respectively)."
,37,7,N,
,38,7,HT,"The Next Attraction was described by Kimberly L. Lee of The Philippine Star as a ""family reunion"" and was repeated twice in August."
,0,9,N,
,1,9,N,
,2,9,N,
,3,9,N,
,4,9,HT,I am over being disappointed with everything.
,5,9,N,
,6,9,N,
,7,9,HT,"I am working with people who feel the same way and want the same things."""
,8,9,HT,"In February 2016, he unveiled his third album, Dare, with the release of the lead single, ""No More Light""."
,9,9,N,
,10,9,HT,"Dare itself was officially released on November 30, 2016, Nievera's birthday."
,11,9,HT,"He said that the album was ""based on my feelings about my career as a musician/singer/producer for the past five years."
,12,9,N,
,13,9,N,
,14,9,N,
,15,9,HT,"During February 2016, Nievera was planning to start a food business."
,16,9,HT,(He had been developing the same since 2014.)
,17,9,N,
,18,9,HT,"In July 2016, Nievera performed with his father Martin in concert in Los Angeles, California."
,19,9,HT,"He also guested as a DJ on The Roadshow, FM radio station Wish 107.5's early evening program, in August 2016."
,20,9,N,
,21,9,HT,"He stayed on the program until 2018, when he was assigned to host Wish 107.5's new, similar program based in Hollywood; Nievera said, ""[The management] gave me the job not only to be the DJ here, but to also make it work like how we've done in Manila."
,22,9,HT,"I've been The Roadshow's DJ for two years, and [the staff] there all taught me really well on how to do this, so I'm trying to do my best so that we can do the same way that we do it back home."""
,23,9,HT,Nievera had already started dating Quizon in 2017.
,24,9,HT,"In 2019, Nievera was a special guest at his parents' Two-gether Again concerts in the United States and Canada."
,25,9,HT,"As of 2020, he is based in Los Angeles, California."
,26,9,N,
,27,9,N,
,0,12,N,
,1,12,N,
