before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Martin Stääf (born 13 November 1978), aka Liquid Stranger, is a Swedish-born electronic musician, described by Generation Bass as ""the epitome of Transnational Dubstep covering everything from Latin, Asian, Eastern European and Jamaican Dancehall dubs."""
,1,0,N,
,2,0,N,
,3,0,HT,"Stääf lives in Edmond, Oklahoma."
,0,3,HT,Martin Stääf was born 13 November 1978 in Varberg on the Swedish West Coast.
,1,3,N,
,2,3,HT,Stääf started experimenting with synthesizers in the mid 80s and abandoned the classical music world to spend the next 10 years producing his own material.
,3,3,N,
,4,3,N,
,0,5,HT,Martin Stääf worked in the commercial studio Bohus Sound Recordings 1997–1999 and engineered/produced various jazz and rock bands.
,1,5,N,
,2,5,HT,"In 1997 Martin Stääf formed the outfit Necton together with Patrik Olsén, mainly focusing on progressive and psychedelic trance."
,3,5,N,
,4,5,N,
,5,5,N,
,0,6,N,
,1,6,N,
,0,8,HT,Martin Stääf launched the Liquid Stranger project in 2003.
,1,8,N,
,2,8,N,
,3,8,N,
,4,8,N,
,5,8,N,
,6,8,N,
,0,9,N,
,1,9,N,
,2,9,N,
,0,10,N,
,1,10,N,
,2,10,N,
,3,10,N,
,0,12,HT,"In 2003, Martin Stääf founded the musical collective Subnatura together with Marckus Andersson."
,1,12,N,
,0,14,HT,"In 2004, Martin Stääf founded the record label Candy Mind Records together with his brother Jens Stääf."
,1,14,N,
,0,15,N,
,1,15,N,
,2,15,N,
,0,17,HT,"In 2005, Stääf got signed to Canadian label Interchill Records."
,1,17,N,
,2,17,N,
,3,17,HT,"Rick Anderson of Allmusic wrote about Liquid Stranger ""As someone who has previously worked in progressive rock, punk, techno, breakbeat, and IDM genres, Staaf brings a certain sophistication to his Interchill-style dubtronica, and there is lots to hear for those who take the trouble to listen closely: the brass and orchestral samples bubbling beneath the surface of the gently churning dub of Liquid Stranger on the Run."
,4,17,HT,"""The song We Meet at Last appeared on the compilation Bliminal, and was licensed by Velcrow Ripper for the film Fierce Light – Where Spirit Meets Action, released in 2008."
,0,19,N,
,1,19,N,
,2,19,N,
,3,19,N,
,4,19,N,
,5,19,N,
,6,19,N,
,7,19,N,
,0,22,N,
,1,22,N,
,2,22,N,
,0,23,N,
,1,23,N,
,0,25,N,
,1,25,N,
,2,25,N,
,0,27,N,
,1,27,N,
,0,30,N,
,1,30,N,
,2,30,N,
,0,55,N,
,0,62,HT,"Purple Pollen – ""Bismarch"" (2004)"
,0,79,HT,"Ganja White Night, Liquid Stranger – ""Jungle Juice"" (2019)"
,0,84,HT,"""Goto80 – Wombatman (Liquid Stranger's Duplomix)(2005)"""
,0,85,HT,"""Bruno Ferrari – Jean Gabin (Liquid Stranger's Duplomix)"" (2005)"
,0,88,HT,"""Goto80 – Breakfast (Liquid Stranger's Gourmet Mixture)"" (2009)"
,0,89,HT,"""Specialist & Tru Skool – Dhaaru Pee Ke (Liquid Stranger Remix)"" (2010)"
