before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Sonny Mayo (born July 16, 1971) is an American guitarist, songwriter, and music producer."
,0,3,N,
,1,3,N,
,2,3,N,
,3,3,HT,"One of the songs from the tape, ""One Race"" was made into a black and white video filmed at the Bayou (note, the director of the video was John Brenkus, who now does Sport Science on ESPN)."
,0,4,HT,"He then joined M.F. Pitbulls with Shannon Larkin (Wrathchild America, Ugly Kid Joe, Amen, now Godsmack) on vocals, Jamie Miller (Snot, Bad Religion, The Start) on drums, and John ""Tumor"" Fahnestock (Snot, Amen, Noise Within) on bass."
,0,5,HT,"In 1995, Mayo moved to Santa Barbara to join the band Snot."
,1,5,N,
,2,5,HT,Mayo then rejoined Shannon Larkin in the band Amen in 1998 and subsequently recorded and released albums on Roadrunner Records (Amen self-titled) and Virgin Records (We Have Come For Your Parents).
,3,5,HT,"In 1998, Mayo contributed to the Vanilla Ice album Hard to Swallow."
,0,6,HT,"In 2002, he replaced Chad Benekos in Hed PE."
,1,6,N,
,0,7,HT,"On January 19, 2005, he got a call from Morgan Rose to join Sevendust after Clint Lowery left for Dark New Day."
,1,7,N,
,2,7,N,
,3,7,HT,"In early 2008, Mayo was replaced by the original Sevendust guitarist, Clint Lowery."
,4,7,N,
,0,8,N,
,1,8,N,
,2,8,N,
,3,8,N,
,0,9,HT,"In 2011, Mayo engineered and co-produced Ugly Kid Joe's ""Stairway To Hell"" album then joined the band in 2012 as touring guitarist, filling in for Dave Fortman."
,0,10,HT,"In June 2014, Sonny joined Wes Geer in the non profit organization, Rock To Recovery, (www.rocktorecovery.org), which harnesses the healing power of music by bringing musical instruments and equipment in to treatment facilities to write and record original songs with people recovering from drug/alcohol addiction, PTSD, eating disorders, and other illnesses."
