before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Dylan Carlson (born March 12, 1968) is an American musician, best known as the guitarist and founder of the drone metal/post-rock group Earth, and the main contributor to his solo project Drcarlsonalbion."
,0,2,HT,"Carlson was born in Seattle, Washington, United States."
,1,2,HT,"His father worked for the Department of Defense, and, as a result, as a child he moved quite frequently, living in Philadelphia, Texas, New Mexico, and New Jersey, before coming back to live in Washington state."
,0,4,N,
,1,4,N,
,2,4,HT,"It was in Olympia, Washington that he met Slim Moon, Greg Babior, Dave Harwell and Joe Preston, with whom he would later form Earth."
,3,4,N,
,4,4,N,
,5,4,N,
,0,6,N,
,1,6,N,
,0,7,N,
,1,7,N,
,2,7,N,
,3,7,N,
,4,7,N,
,5,7,N,
,0,10,HT,Falling with a 1000 Stars and other wonders from the House of Albion (with Coleman Grey) (2016)
