before,after,paragraphIndex,annotation,sentences
,0,0,N,
,1,0,HT,"Thomas (c. 1902–c. 1945) was an American country blues singer, guitarist and songwriter."
,2,0,HT,He is best remembered for his slide guitar playing and for several recordings he made in the late 1920s and early 1930s.
,3,0,N,
,4,0,N,
,0,2,HT,"Thomas was born in Logansport, Louisiana, one of nine children in his family."
,1,2,N,
,2,2,HM,"Thomas relocated to Deep Ellum, Dallas, Texas, in the late 1920s and was influenced by the playing of Lonnie Johnson, Blind Lemon Jefferson and Blind Blake."
,3,2,HT,"He performed in San Antonio, Oklahoma and possibly St. Louis, Missouri, in his subsequent travels."
,4,2,HT,"He recorded in Dallas and Chicago between 1928 and 1932, for Paramount Records and Victor Records."
,5,2,N,
,6,2,HT,"Thomas reportedly died of tuberculosis in 1944 or 1945 in Memphis, Tennessee."
,7,2,HT,"Compilations of his work have been released on CD by various record companies, including Document Records, in addition to LPs previously issued by Heritage, Biograph, and Matchbox Records."
,0,4,N,
