before,after,paragraphIndex,annotation,sentences
,0,0,HT,"David Lawrence Geffen (born February 21, 1943) is an American business magnate, producer and film studio executive."
,1,0,HT,"Geffen co-created Asylum Records in 1971 with Elliot Roberts, Geffen Records in 1980, DGC Records in 1990, and DreamWorks SKG in 1994."
,0,2,HM,"David Geffen was born in Borough Park, Brooklyn, New York, to Abraham Geffen and Batya Volovskaya (1909–1988)."
0.0,1,2,HM,"David Geffen was born in Borough Park, Brooklyn, New York, to Abraham Geffen and Batya Volovskaya (1909–1988). Geffen's mother owned a clothing store in Borough Park called Chic Corsets by Geffen."
,2,2,HT,Both of his parents were Jewish immigrants who met in British Mandatory Palestine and then moved to the United States.
,3,2,HT,"Geffen graduated from Brooklyn's New Utrecht High School in 1960 with a ""barely passing 66 average""."
,4,2,N,
,5,2,HT,"He then moved to Los Angeles, California to find his way in the entertainment business."
,6,2,HT,"He attended Santa Monica College (then known as Santa Monica City College) in Santa Monica, California, but soon left."
,7,2,N,
,0,4,N,
,1,4,N,
,2,4,N,
,3,4,N,
,4,4,N,
,5,4,N,
,6,4,N,
,7,4,N,
,8,4,N,
,9,4,N,
,10,4,N,
,0,6,HT,Geffen co-founded Asylum Records in 1971 with Elliot Roberts after Geffen was unable to get Jackson Browne a record deal anywhere else.
,1,6,N,
,2,6,N,
,3,6,HT,"Asylum became a generator of the Southern California folk-rock sound and signed artists such as the Eagles, Joni Mitchell, Bob Dylan, Tom Waits, Linda Ronstadt, Warren Zevon, Judee Sill, and J.D. Souther."
,4,6,N,
,5,6,HT,"The label was revived in 2004 as an urban music operation, signing hip-hop artists such as Waka Flocka Flame, Cam’ron, Gucci Mane, Paul Wall, Mike Jones and Bun B. Geffen remained in charge until December 1975, when he went to work as vice chairman of Warner Bros. film studios."
,6,6,N,
,7,6,HT,"During his retirement period he spent a short time (the fall of 1978 and spring of 1979) teaching a noncredit seminar on the music industry and arts management at Yale University, where he featured classroom guests Jackson Browne and Paul Simon."
,8,6,N,
,0,8,N,
,1,8,N,
,2,8,N,
,3,8,HT,"Geffen's first artist to sign on was Donna Summer, who was anxious to leave Casablanca/PolyGram Records."
,4,8,N,
,5,8,N,
