before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Joann Marie Slater (born November 20, 1995), known professionally as Ann Marie, is an American singer signed to Interscope Records."
,1,0,N,
,2,0,HT,"Her debut EP Pretty Psycho was released on July 10, 2019."
,0,2,HT,"Ann Marie was born Joann Marie Slater in Englewood, Chicago, Illinois."
,1,2,N,
,0,4,HT,"In December 2020, Slater was charged with possession of a gun and aggravated assault with a deadly weapon in connection to an Atlanta hotel shooting of childhood friend and alleged boyfriend, Jonathon ""Sandillo"" Wright."
,1,4,N,
,2,4,N,
,0,6,N,
,0,15,HT,Moon Boy Tour (2021) with yung bleu
