before,after,paragraphIndex,annotation,sentences
,0,0,HT,"John Ernest Crawford (March 26, 1946 – April 29, 2021) was an American actor, singer, and musician."
,1,0,N,
,2,0,N,
,0,1,HT,Crawford had a brief career as a recording artist in the 1950s and 1960s.
,1,1,N,
,2,1,HT,"Beginning in 1992, Crawford led the California-based Johnny Crawford Orchestra, a vintage dance orchestra that performed at special events."
,0,3,HT,"Crawford was born in Los Angeles, California, United States, the son of Betty (née Megerlin) and Robert Lawrence Crawford Sr."
,1,3,N,
,2,3,HT,"In 1959, Johnny, his older brother Robert L. Crawford Jr., a co-star of the series Laramie, and their father Robert Sr. were all nominated for Emmy Awards (the brothers for acting, and their father for film editing)."
,3,3,N,
,0,5,N,
,1,5,HT,"One of The Walt Disney Company's original Mouseketeers in 1955, he acted on stage, in films, and on television."
,2,5,N,
,3,5,HT,"His first important break as an actor followed with the title role in a Lux Video Theatre production of ""Little Boy Lost"", a live broadcast on March 15, 1956."
,4,5,HT,He also appeared in the popular Western series The Lone Ranger in 1956 in one of the few color episodes of that series.
,5,5,N,
,6,5,HT,"Freelancing for two and one-half years, he accumulated almost 60 television credits, including featured roles in three episodes of NBC's The Loretta Young Show and an appearance as Manuel in ""I Am an American"", an episode of the crime drama The Sheriff of Cochise."
,7,5,HT,He starred as Bobby Adams in the 1958 drama Courage of Black Beauty.
,8,5,HT,"He appeared as Tommy Peel in the 1958 episode ""The Dealer"" in Tales of Wells Fargo."
,9,5,HT,"By the spring of 1958, he had performed 14 demanding roles in live teleplays for NBC Matinee Theatre, appeared on CBS's sitcom Mr. Adams and Eve, in the Wagon Train episode ""The Sally Potter Story"" (in which Martin Milner also appeared), and on the syndicated series Crossroads, The Sheriff of Cochise, and Whirlybirds, and made three pilots of television series."
,10,5,HT,"The third pilot, made as an episode of Dick Powell's Zane Grey Theatre, was picked up by ABC, and the first season of The Rifleman began filming in July 1958."
,0,6,HT,"Crawford was nominated for an Emmy Award as Best Supporting Actor in 1959, at age 13."
,1,6,N,
,2,6,HT,"Crawford also played a young boy named Clay Holden, who befriends Connors in a 1965 episode of “Branded”."
,3,6,HT,"Connors and Crawford were close friends when Connors died on November 10, 1992, and Crawford gave a eulogy at Connors' memorial."
,4,6,HT,"During the late 1950s and early 1960s, Crawford had wide popularity with American teenagers and a recording career on Del-Fi Records that generated four Billboard Top 40 hits, including the single ""Cindy's Birthday"", which peaked at number eight in 1962."
,5,6,HT,"His other hits included ""Rumors"" (number 12, 1962), ""Your Nose Is Gonna Grow"" (number 14, 1962), and ""Proud"" (number 29, 1963)."
,6,6,HT,"Late in 1961, Crawford appeared as Victor in the episode ""A Very Bright Boy"" on The Donna Reed Show."
,7,6,N,
,8,6,HT,"In 1964 and in 1965, Crawford appeared on the NBC education drama Mr. Novak playing JoJo Rizzo."
,9,6,N,
,10,6,HT,"Among his films, Crawford played an American Indian in the unique adventure film Indian Paint (1965)."
,11,6,HT,"He played a character involved with a disturbed young girl played by Kim Darby in The Restless Ones (1965), and played a character shot by John Wayne's character in El Dorado (1966)."
,12,6,HT,"He played young deputy Billy Norris in The Big Valley episode ""The Other Face of Justice"" in 1969."
,13,6,HT,"While enlisted in the United States Army for two years, Crawford worked on training films as a production coordinator, assistant director, script supervisor, and occasional actor."
,14,6,HT,His rank was sergeant at the time of his honorable discharge in December 1967.
,15,6,HT,"In 1968, Crawford played a soldier wanted for murder in ""By the Numbers"", an episode of the television series Hawaii Five-O."
,0,7,N,
,1,7,N,
,2,7,HT,"The Naked Ape was a partially animated 1973 feature film starring Crawford and Victoria Principal, produced by Hugh Hefner."
,3,7,HT,"In 1976, Crawford co-starred as Ben Shelby in the tenth episode of season three of Little House on the Prairie, ""The Hunters""."
,4,7,HT,"Crawford appeared as Deputy Noah Paisley in a 1985 episode of Murder, She Wrote."
,5,7,HT,Crawford played a key role in the early career of entertainer Victoria Jackson of Saturday Night Live fame.
,6,7,N,
,7,7,N,
,8,7,HT,His final role in a film was playing William S. Hart in the 2019 Western Bill Tilghman and the Outlaws.
,9,7,HT,"Beginning in 1992, Crawford led a California-based vintage dance orchestra, which performed at special events."
,10,7,N,
,11,7,HT,"The JCO logo appeared on Crawford's drums when the band played in Las Vegas, Nevada."
,12,7,N,
,13,7,N,
,0,9,HT,"Crawford reconnected with Charlotte Samco, his high school sweetheart, in 1990, and they married in 1995."
,1,9,HT,"In 2019, MeTV reported that Crawford had been diagnosed with Alzheimer's disease."
,2,9,N,
,3,9,HT,"Crawford died in a personal care home at age 75 on April 29, 2021."
,4,9,N,
,5,9,N,
