before,after,paragraphIndex,annotation,sentences
,0,0,HM,"Sophie Luise Elisabeth Muller (born 31 January 1962) is a British music video director from London, who has produced more than 300 music videos."
,1,0,HT,"She won a Grammy Award for Annie Lennox's 1992 Diva video album, and an MTV Video Music Award for Lennox's song ""Why"" from the same album."
,2,0,HT,"In 1993 she won a BRIT Award for ""Stay"" by Shakespears Sister."
,3,0,HT,"In 1997, she won another MTV Award for ""Don't Speak"" by No Doubt."
,4,0,N,
,0,1,N,
,0,3,HT,"Sophie Muller was born in London, but spent her early years on the Isle of Man."
0.0,1,3,HM,"Sophie Muller was born in London, but spent her early years on the Isle of Man. After leaving secondary education, she returned to London to attend Central St Martins, gaining a Foundation Diploma in Art."
,2,3,N,
,3,3,N,
,4,3,N,
,0,6,HT,Muller's first taste of professional film came working as a third assistant on the 1984 horror/thriller Company of Wolves.
,1,6,N,
,0,7,N,
,1,7,N,
,2,7,N,
,3,7,HT,"She also picked up an MTV Video Music Award for Lennox's 1992 hit ""Why"", and was also Grammy nominated for the Eurythmics' 1987 Savage video album."
,4,7,N,
,0,9,N,
,0,10,N,
,1,10,HT,"When No Doubt's ""Don't Speak"" won the award for Best Group Video at the 1997 MTV Video Music Awards, Stefani thanked her extensively, saying ""I'd like to say that Sophie Muller is a genius."""
,2,10,N,
,3,10,N,
,4,10,N,
,5,10,N,
,6,10,N,
,7,10,N,
,8,10,N,
,9,10,N,
,10,10,N,
,11,10,N,
,12,10,N,
,13,10,N,
,14,10,N,
,15,10,N,
,16,10,N,
,17,10,N,
,0,11,HT,"The artwork for The Jesus and Mary Chain's 1994 album, Stoned & Dethroned, and the singles accompanying it, is composed entirely of stills from the video to the group's song ""Sometimes Always"", which was directed by Muller."
,1,11,N,
,0,12,N,
,1,12,HT,"In 2004, she directed the socially aware video for Sarah McLachlan's ""World on Fire"", where all but $15 of the entire $150,000 video budget was donated to charities."
,2,12,HT,"Recently, she has directed videos for Brandon Flowers, Kings of Leon, Mae Muller (no relation), Mika, Tom Odell, Shakira, and the critically acclaimed video for the Dixie Chicks, ""Not Ready to Make Nice""."
