before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Mitchell Joseph Torok (born October 28, 1929, date of death unknown) was an American country music singer-songwriter, guitarist, artist and author, best known for his 1953 hit record ""Caribbean""."
,1,0,N,
,2,0,N,
,0,1,HT,"Torok reached the Billboard charts several times: in 1957 with ""Pledge of Love"" (Billboard Top 20), written by his wife, Gail Redd; in 1959 with an updated version of ""Caribbean"" (No. 27 on Billboard); with ""Redneck Nat' Anthem"" by Vernon Oxford in 1976; with Jerry Wallace and their song ""This One's on the House"" (Top 20); and with Bill Phillips's ""I Can Stand It (As Long as She Can)""."
,1,1,HT,"In 1960, Torok's recording of ""Pink Chiffon"" topped out at No. 60 on Billboard."
,2,1,HT,"His last hit record was ""Instant Love"" in 1965, produced by Jimmie Bowen."
,0,3,HM,"Torok was born in Houston, Texas, United States in October 1929, to Hungarian immigrants Niclos and Irene Torok, with an older brother named William (1922–2020)."
,1,3,N,
,2,3,HT,"He attended Stephen F. Austin State University in Nacogdoches, Texas from 1948 to 1953, on a football and baseball scholarship."
2.0,3,3,HM,"He attended Stephen F. Austin State University in Nacogdoches, Texas from 1948 to 1953, on a football and baseball scholarship. Torok majored in art and minored in world history, and played baseball in Garrison, Texas whilst studying."
,0,5,HT,Torok recorded his first session in Houston with a duet partner named Sally Lee.
,1,5,N,
,2,5,HT,"During the next two years, he performed his own morning radio show on KSFA and KFRD, in Rosenberg and KTRE in Lufkin."
,3,5,N,
,0,6,HT,"One of Torok's idols, Hank Williams, died suddenly on January 1, 1953."
,1,6,HT,"Inspired by a need for some happy songs, he immediately penned a happy-go-lucky song titled ""Mexican Joe,"" which he wrote in thirty minutes, initially intending the song for another one of his idols, Hank Snow."
,2,6,HT,"But, a new record producer and label owner from Hollywood, Fabor Robison, happened by Nacogdoches and found Torok and the song."
,3,6,HT,Torok wanted one of Robison's supposed heavy West Coast artist to record his song.
,4,6,HT,"He reluctantly gave it to him and his Abbott record label, to be recorded by one of his own struggling artists, the then unknown Jim Reeves, in Shreveport."
,5,6,N,
,6,6,N,
,7,6,HT,"Torok's song, ""Mexican Joe"", was recorded by Reeves and it became a number one hit, and spent seven weeks riding the top of the Billboard Country Music Charts."
,8,6,N,
,9,6,HT,"A month later wrote his own number one hit that became popular in both the Billboard Country and Jukebox charts, and remained at the top for four weeks."
,10,6,N,
,11,6,N,
,0,7,N,
,1,7,HT,"In 1954, his song ""My Arabian Baby"" appeared as the B-side of Snow's hit ""I Don't Hurt Anymore""."
,2,7,HT,"Torok gained a No. 8 country hit with ""Hootchy Kootchy Henry (From Hawaii)"" and in 1956, after joining Decca Records in Nashville, he had top ten success on the UK Singles Chart with his and Gail's song, ""When Mexico Gave Up The Rhumba"" and ""Red Light, Green Light""."
,3,7,N,
,4,7,N,
,5,7,N,
,6,7,HT,"In the next few years, Torok made further recordings for Mercury, and RCA."
,7,7,HT,"His last US chart entry was ""Instant Love"" for the Reprise record label in 1967."
,8,7,HT,"Prior to that, he had two other hits on the Billboard Hot 100: ""Pledge of Love"" hit No. 25 in 1957, and ""Caribbean"" hit again in 1959, peaking at No. 27."
,9,7,N,
,0,9,N,
,1,9,N,
,2,9,N,
,3,9,N,
,4,9,N,
,5,9,N,
,6,9,HT,"""The Redneck National Anthem"" was a top 20 hit for Vernon Oxford in 1976."
,0,10,N,
,1,10,N,
,2,10,HT,"He then created the ""Elvis-a-Rama"", which consisted of a 12-foot-high, 125-foot-long mural with a 22-minute light and music show depicting his life, from his truck driving days in Memphis to his death in 1977."
,3,10,HT,"It has been shown in Nashville, in Branson, and recently in Las Vegas, and has been signed by over 50,000 Elvis fans."
,0,11,HT,"Mitchell and his writing-partner, wife Gail also created a tribute to Nashville's 200th birthday while writing for Cedarwood Music, with a 12-song LP recording titled Nashville, filled with songs based on Music City's history."
,1,11,HT,"They also wrote, produced and performed on a Texas history album, titled The Ballads of Texas."
,2,11,N,
,3,11,N,
,0,13,HM,"Torok married Gail Redd, a beauty queen, from Lufkin, Texas, in 1951."
,1,13,HT,"She died on August 3, 1985, at the age of 52."
,2,13,HT,"In April 2014, it was reported that Torok had moved to Alvin, Texas at the age of 84, to live with his daughter."
,3,13,HT,"The obituary of his brother, William, from November 2020, notes that Mitchell Torok predeceased him."
,0,16,HT,Guitar Course (Instant Fun) – 1966 (Reprise)
