before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Jamie Miller is an American musician, currently the drummer for rock bands Bad Religion and Vanishing Life."
,1,0,N,
,2,0,N,
,0,2,HT,Miller was born in 1975.
,1,2,HT,"He is a 1993 graduate of Overlea High School in Baltimore County, Maryland."
,0,4,HT,"Miller joined the band Souls at Zero, replacing drummer Shannon Larkin after he left to join Ugly Kid Joe in 1994."
,1,4,N,
,0,6,N,
,1,6,N,
,2,6,N,
,3,6,N,
,4,6,HT,"In December 1998, band member Lynn Strait died in a car accident when a truck struck his car."
,0,8,HT,"In 2008, the band reformed, with former Divine Heresy singer Tommy Vext on vocals."
,1,8,HT,"Tommy Cummings and Sonny Mayo left the band, and a new band, Tons, was formed in 2009 with a new vocalist."
,2,8,N,
,0,10,N,
,1,10,N,
,2,10,N,
,3,10,N,
,4,10,N,
,5,10,HT,"However, in October, vocalist Tommy Vext announced he had left the band to form his new band, Westfield Massacre, and that Snot already had a replacement vocalist (Carl Bensley) in place."
,0,12,N,
,1,12,N,
,2,12,N,
,0,14,N,
,1,14,HT,And You Will Know Us by the Trail of Dead from 2011 to 2020.
,2,14,N,
,0,16,HT,"In 2015, Miller became the drummer for Bad Religion by replacing longtime drummer Brooks Wackerman, who joined Avenged Sevenfold."
,1,16,HT,"Miller would not appear on a Bad Religion album until four years later, with Age of Unreason."
,0,18,N,
,1,18,N,
,2,18,N,
,3,18,N,
