before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Robert Caggiano (born November 7, 1976) is an American guitarist and record producer."
,1,0,HT,"As of 2013, Caggiano is the lead guitarist of rock band Volbeat."
,2,0,N,
,0,2,HT,Caggiano's first professional band was Boiler Room that formed in 1996.
,1,2,N,
,2,2,N,
,3,2,N,
,0,3,HT,"He initially played with Anthrax from 2001 until 2005, exiting when their Among the Living lineup reunited, and later returning in 2007 following the end of that reunion."
,1,3,N,
,2,3,HT,"Caggiano was also part of ""The Big 4"" tour during 2010 and 2011 which featured Anthrax, Megadeth, Slayer, and Metallica."
,3,3,N,
,0,4,N,
,1,4,HT,"Caggiano was also the guitarist/songwriter for a band called the Damned Things along with Scott Ian (Anthrax), Joe Trohman and Andy Hurley (Fall Out Boy), and Keith Buckley (Every Time I Die)."
,2,4,HT,"The debut album for the Damned Things which was also produced and recorded by Caggiano was released through Island Records on December 13, 2010."
,0,5,HT,"On January 4, 2013, it was announced that he had left Anthrax, reportedly in order to focus on studio production work for a while until he figured his next move as an artist."
,1,5,HT,"He said of his decision to leave ""This is an extremely difficult and emotional decision for me to make but my heart is just steering me in a different direction right now."
,2,5,N,
,3,5,HT,"""On February 4, 2013, it was announced that Caggiano had officially joined Danish band Volbeat as lead guitarist."
,4,5,HT,"Originally called on as the record producer for Volbeat's new album Outlaw Gentlemen and Shady Ladies, Caggiano was asked to join as a full-time member two weeks into the recording process due to the chemistry between him and the other band members."
,5,5,HT,"In addition, Caggiano has also recently joined forces with singer Dani Filth, bass player"
,6,5,N,
,0,16,HT,"Jesse Malin – ""Glitter in the Gutter"" (featuring Bruce Springsteen and Ryan Adams)"
