before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Andrea Reinkemeyer (born 1976) is an American composer from Portland, Oregon."
,1,0,N,
,2,0,HT,"She was awarded a 2017 Virginia B. Toulmin Orchestral Commission, 2019 Julie Olds and Thomas Hellie Creative Achievement Award for Linfield Faculty; her Smoulder for Wind Ensemble was awarded the 2021 Alex Shapiro Prize in the 40th Annual Search for New Music by the International Alliance of Women in Music (IAWM) and named a 2020 finalist for the National Band Association William D. Revelli Composition Contest."
,3,0,N,
,4,0,N,
,5,0,HT,"After completing her education, she took a position teaching composition, theory and technology at Bowling Green State University in Ohio."
,6,0,HT,"She is currently an Associate Professor of Music Composition and Theory at Linfield University in McMinnville, Oregon."
,7,0,N,
,8,0,HT,Reinkemeyer has also worked teaching music in Detroit community outreach programs.
,0,6,HT,"Triptych: Three Disasters a Virtual Opera Scene (2020); Patrick Wohlmut, libretto"
,0,10,HT,in the speaking silence (2018) for Alto Saxophone and Bassoon
,0,11,HT,Saturation (2017) for Soprano Saxophone and Piano
,0,12,HT,"From Cycles of Eternity (2017) for Women's Vocal Ensemble; Henrietta Cordelia Ray, poet"
,0,14,HT,"When Justice Reigns (2016) for Mixed Choir; Janine Applegate, poet"
,0,15,HT,"The Thaw (2016) for Soprano, Tenor, Mixed Choir and Wind Ensemble; Artis Henderson, poet"
,0,20,HT,Dos Danzas (2010) for Concert Band
,0,21,HT,"Wild Silk (2009) for Baritone Saxophone, Percussion and Piano"
,0,22,HT,"Half Moon Nocturne (2007) for Clarinet in B-flat, Bassoon, Horn in F, Piano, Violin, Viola, Cello & Bass"
,0,28,HT,"Four Poems for Robin (1999, rev. 2006) for Soprano and Viola; Gary Snyder, poet"
